Question ID,Exam,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,Subject,Topic,Subtopic,Classification Status
Q000998,67th RE-EXAM BPSC,How many members are elected to the Lok Sabha from Bihar?,20,30,35,40,(D) (D) 40,"There are total 40 Lok Sabha seats in Bihar. In which six seats are reserved which are as follows: Gaya Gopalganj, Hajipur, Samastipur, Jamui, Sasaram. There are total 243 seats in Bihar Assembly.",Indian Polity,Lok Sabha,Number of Members from Bihar,CLASSIFIED
Q000999,67th RE-EXAM BPSC,What is the unique festival of Bihar?,Diwali,Bisu,Vinayak Chaturth,Chhath Puja,(D) (D) Chhath Puja,Chhath Puja is a major festival of Bihar. This is the only festival which has been going on since the Vedic period. This festival is related to Hindu religion and is dedicated to the Sun God.,Art & Culture,Bihar Culture,Unique Festivals of Bihar,CLASSIFIED
Q001000,67th RE-EXAM BPSC,In which place of Bihar did Gandhiji conduct his first Satyagraha?,Champaran,Chhapra,Bettiah,Patna,(A) (A) Champaran,Mahatma Gandhi went to South Africa in 1893 AD and returned to India in 1915 AD. Mahatma Gandhi firs used his Satyagraha in India in Champaran (Bihar).,History of Bihar,Champaran Satyagraha,First Satyagraha conducted by Gandhiji,CLASSIFIED
Q001001,67th RE-EXAM BPSC,Which Sikh Guru was born in Patna?,Nanak,Tegh Bahadur,Hargobind,Govind Singh,(D) (D) Govind Singh,"Guru Gobind Singh, the tenth and last religious leader of the Sikhs, was born in Patna in 1666 AD. His father was Tegh Bahadur, the ninth Guru of Sikhism, and his mother was Gujri. He established the Khalsa Panth in the year 1699.",History of India,Religious Movements,Birthplace of Guru Hargovind,CLASSIFIED
Q001002,67th RE-EXAM BPSC,Who was the President of the Gaya session of the Indian National Congress in 1922?,Chittaranjan Das,S. N. Banerjee,Dr. Rajendra Prasad,Hakim Ajmal Khan,(A) (A) Chittaranjan Das,"Chittaranjan Das presided over the Gaya session of the Indian National Congress in 1922. In the year 1923, he resigned from the Congress and along with Motilal Nehru founded the Swaraj Party in 1923.",History of Bihar,Vaishali,Birthplace of Guru Tegh Bahadur,CLASSIFIED
Q001003,67th RE-EXAM BPSC,By what name is Jaiprakash Narayan known?,Lokmanya,Loknayak,Lok Hitvaadi,Jan Nayak,(B) (B) Loknayak,"Prominent leader of Bihar Jai Prakash Narayan is known as Loknayak. In the year 1974, he had given the slogan of 'total revolution' against the Indira government. In the year 1998, he was awarded India's highest civilian honor 'Bharat Ratna'.",History of India,Indian National Congress,Gaya Session of 1922 - President,CLASSIFIED
Q001004,67th RE-EXAM BPSC,What is Dalmia city in Bihar famous for?,Silk,Cement,Leather,Jute,(B) (B) Cement,"Dalmia city is famous for sugar industry, cement industry, paper etc. Dalmia Nagar is situated in Rohtas district.",History of Bihar,Leaders,Jaiprakash Narayan (CPI) - Nickname,CLASSIFIED
Q001005,67th RE-EXAM BPSC,How many square meters of forest area is there in Bihar?,2812 square km,3612 square km,2461 square km,2612 square km,(*),"Note: The Commission had canceled this question. As of 2014, the total forest area in Bihar was approximately 6764.14 square km which is approximately 7% of the total geographical area.

According to the Forest Status Report 2021, the forest cover in Bihar is approximately 7380.79 square km Which is 7.84% of the total geographical area.",Bihar Economy,Industrial Areas,Dalmia City - Famous for,CLASSIFIED
Q001006,67th RE-EXAM BPSC,Which of the following cities is located in the easternmost part of Bihar?,Bhagalpur,Patna,Katihar,Purnia,(C) (C) Katihar,"According to the given options, Katihar is located in the easternmost part of Bihar. Katihar district shares border with West Bengal.",Geography,Forests,Forest Area in Bihar (Square Meters) - Approximate Value,CLASSIFIED
Q001007,67th RE-EXAM BPSC,Which of the following lakes is located in Bihar?,Anupam Lake,Sambhar Lake,Sukhna Lake,Cama Lake,(A) (A) Anupam Lake,"Among the following options, Anupam Lake is located in Kaimur district of Bihar state. Tourists come every year in large numbers to enjoy the fish in Anupam Lake.",Geography,Location and Boundaries,Easternmost City in Bihar - Name,CLASSIFIED
Q001008,67th RE-EXAM BPSC,Fill in the blank: In the rights of tenants on land in Bengal and Bihar were given by the Bengal Tenancy Act.,1885,1886,1889,1900,(A) (A) 1885,The Bengal Tenancy Act was passed in 1885 AD. The main objective of enacting this Act was to promulgate the customary rights of the landlord tenant related to the land.,Geography,Lakes,Lakes Located in Bihar - Name,CLASSIFIED
Q001009,67th RE-EXAM BPSC,One of the popular beliefs in Bihar during the non-cooperation movement of 1920-22 was that they would win because Gandh,Was symbols of religion.,Was an accomplished politician,He knew the way to defeat the British.,Knew English.,(A) (A) Was a symbol of religion.,"The non-cooperation movement was started by Gandhiji in 1920 AD. During this period, there was discussion among the people of Bihar about Gandhiji that he was a very intelligent politician. During the colonial period, people considered Gandhiji a symbol of religion.",History of Bihar,Bihar Current Affairs,non-cooperation movement of 1920-22,CLASSIFIED
Q001010,67th RE-EXAM BPSC,Who among the following was/were the farmer leaders of Bihar? I. Swami Vidyananda II. Swami Sahajanand III. Sardar Vallabh Bhai Patel Select the correct option from the following,I and II,II and III,I and III,Only II,(A) (A) I and II,Both Swami Vidyanand and Swami Sahajanand Saraswati were great farmer leaders in Bihar. Provincial Kisan Sabha was formed by Sahajanand Saraswati in 1929 and All India Kisan Sabha was formed in 1936.,History of Bihar,Important Personalities,"Swami Vidyananda, Swami Sahajanand, Sardar Vallabh Bhai Patel",CLASSIFIED
Q001011,67th RE-EXAM BPSC,In which field was Rahul Sankrityayan active in the non-cooperation movement of 1920?,Chhapra,Delhi,Lucknow,Patna,(A) (A) Chhapra,Rahul Sankrityayan was active in Chapra during the non-cooperation movement. Rahul Sankrityayan was a famous litterateur of Hindi language. He died in 1963 in Darjeeling (West Bengal).,History of Bihar,Bihar during Non-Cooperation,Rahul Sankrityayan,CLASSIFIED
Q001012,67th RE-EXAM BPSC,Which of the following statements is correct?,"In 1857, the Maharajas of Darbhanga, Dumraon and Hathua and their fellow landlords helped the British with men and money.","In 1857, the Maharajas of Darbhanga, Dumraon and Hathua and their fellow landlords helped the British with men, not money.","In 1857, the Maharajas of Darbhanga, Dumraon and Hathua and their fellow landlords helped the British with money and not with men.","In 1857, the Maharajas of Darbhanga, Dumraon and Hathua and their fellow landlords opposed the British.","(A) (A) In 1857, the Maharajas of Darbhanga, Dumraon and Hathua and their fellow landlords helped the British with men and money.","Among the given options, the statement given in option (A) is correct. During the revolution of 1857, the Zamindar of Bettiah, the King of Nepal etc. helped the British with men and money to suppress the rebellion",Indian Polity,Constitution,Article,CLASSIFIED
Q001013,67th RE-EXAM BPSC,"Who threw light on the plight of the farmers of Champaran by writing under pseudonyms like 'Dukhi', 'Dukhi atma', 'Dukhi Hriday'?",Peer Muhammad Munis,Rajendra Prasad,Sahajanand Saraswati,S. N. Sinha,(A) (A) Pir Muhammad Munis,"Seeing the condition of the farmers of Champaran, Pir Muhammad Munis wrote an article in 1916 unde pseudonyms like 'Dukhi', 'Dukhi atma', 'Dukhi Hriday'. Muhammad Munis was a resident of Champaran and studied in a school in Bettiah.

53rd -55th BPSC",History of Bihar,Champaran Satyagraha,Rahul Sankrityayan,CLASSIFIED
Q001014,67th RE-EXAM BPSC,Due to whose efforts was the second session of Bihar Provincial Congress held?,G.K. Gokhale,Shri Deepnarayan Singh,Shri Krishna,Surendranath Banerjee,(B) (B) Shri Deepnarayan Singh,The second session of Bihar Provincial Congress wa organized due to the efforts of Shri Deepnarayan Singh Deepnarayan Singh was a prominent freedom fighter This convention was organized in Bhagalpur,History of Bihar,Bihar's Role in 1857,efforts of the session,CLASSIFIED
Q001015,67th RE-EXAM BPSC,Where was the 27th session of the Indian National Congress held?,Bhagalpur,Patna,Ranchi,Bankipur,(D) (D) Bankipur,"The 27th session of the Indian National Congress was held in Bankipur (Patna) in 1912 AD. This session wa presided over by RN Madholkar. In 1922, the Congress session was held in Gaya which was presided over by Chittaranjan Das.",History of Bihar,Indian National Congress,27th session held in Hazaribagh,CLASSIFIED
Q001016,67th RE-EXAM BPSC,The sixteenth session of Bihari Students Conference was held in Hazaribagh?,In 1921,In 1922,In 1923,In 1924,(A) (A) in 1921,The 16th session of Bihari Students Conference was held in Hazaribagh in the year 1921. This session was presided over by Mrs. Sarala Devi.,History of Bihar,Indian National Congress,16th session held in Hazaribagh,CLASSIFIED
Q001017,67th RE-EXAM BPSC,The editor of Bihar's leading newspaper 'Bihari was -,Babu G. Prasad,Babu Ram Prasad,Babu Gopal Prasad,Babu Maheshwar Prasad,(D) (D) Babu Maheshwar Prasad,The chief editor of Bihari newspaper was Babu Maheshwar Prasad. The first English language newspaper in Bihar was “The Bihar Herald” which was published in 1875 by Guru Prasad Sen.,History of Bihar,Important Personalities,editor of 'Bihari' newspaper,CLASSIFIED
Q001018,67th RE-EXAM BPSC,Rajkumar Shukla was a resident of which village?,Murli Bharhwa,Murli Bhit,Murali Dheer,Murali Kher,(A) (A) Murli Bharhwa,Rajkumar Shukla was a resident of Murali Bharhwa village in Champaran district. He took many important steps to solve the problems of the farmers of his area. It was due to the efforts of Rajkumar Shukla that Mahatma Gandhi came to Champaran and the Teen Kathiya system was abolished.,History of Bihar,Important Personalities,Rajkumar Shukla's village,CLASSIFIED
Q001019,67th RE-EXAM BPSC,Shri Nivaranchandra Dasgupta was –,From Patna,From Purulia,From Hajipur,From Monapur,(B) (B) From Purulia,Shri Nivaranchandra Dasgupta was a school teacher in Purulia (West Bengal). He had contributed at various levels at the time of independence.,History of Bihar,Important Personalities,Nivaranchandra Dasgupta,CLASSIFIED
Q001020,67th RE-EXAM BPSC,Kunwar Singh was the king -,Hamirpur,Dhirpur,Jagdishpur,Rampur,(C) (C) Jagdishpur,"Kunwar Singh was born in Jagdishpur village in 1777 AD. He demonstrated his skillful leadership abilities in the first war of independence (1857) and fiercely faced the British rulers. Even at the age of 80, he took on the British and led this revolution in Bihar. Kunwar Singh died on 26 April 1858 AD.",History of Bihar,Important Personalities,Kunwar Singh's king,CLASSIFIED
Q001021,67th RE-EXAM BPSC,Where did Lord Sinha resign from the post of Governor in 1921?,Bihar-Orissa,Bengal,Punjab,Madras,(A) (A) Bihar-Orissa,"Lord Sinha was appointed the Governor of Bihar and Orissa province in 1920 AD. Lord Sinha was a lawyer by profession and due to ill health, he resigned from his post in the year 1921.",History of Bihar,Bihar's Role in 1857,Kunwar Singh,CLASSIFIED
Q001022,67th RE-EXAM BPSC,Which state governments have made reservation for women in local bodies 50 percent by 2010?,"Bihar, Uttar Pradesh, Rajasthan","Bihar, Madhya Pradesh, Himachal Pradesh","Bihar, Madhya Pradesh, Kerala","Bihar, Himachal Pradesh, Uttar Pradesh","(B) (B) Bihar, Madhya Pradesh, Himacha Pradesh","The state of Bihar was the first to make the provision of 50% reservation for women in local body elections Till the year 2010, Bihar, Madhya Pradesh and Himachal Pradesh had given this reservation to women in local bodies.

302.Where is the headquarters of East Central Railway zone located?",Indian Economy,Development,Mahatma Gandhi National Rural Employment Guarantee Act,CLASSIFIED
Q001023,67th RE-EXAM BPSC,,Patna,Hajipur,"Muzaffarpur,",Katihar,(B) (B) Hajipur,"The headquarters of East Central Railway is in Hajipur. It was established on 1 October 2002. Mughalsarai Sonpur, Danapur, Samastipur divisions come unde this.",Geography,Rivers,Kosi River,CLASSIFIED
Q001024,67th RE-EXAM BPSC,Where is the office of the Commissioner of Industries of Bihar located?,Patna,Gaya,Hajipur,Muzaffarpur,(A) (A) Patna,The office of the Commissioner of Industries of Bihar is located in Patna. It was established to solve industry related problems.,Geography,District-wise Geography,Patna District,CLASSIFIED
Q001025,67th RE-EXAM BPSC,What is North Bihar famous for?,Agricultural prosperity,Heavy industry,Flood,Drought,(C) (C) Flood,"North Bihar suffers from the problem of floods every year. This area is very important for agriculture, but every year crops are damaged due to floods. Kosi river is called the sorrow of Bihar due to floods.",Geography,Rivers,Kosi River,CLASSIFIED
Q001026,67th RE-EXAM BPSC,Which of the following cities is not located on National Highway-2 (NH-2)?,Aurangabad,Sasaram,Mohania,Patna,(D) (D) Patna,"National Highway No. 2 is from Delhi to Calcutta. Sasaram, Aurangabad, Mohania cities of Bihar are situated on it.

• NH 1 - Delhi to Amritsar• NH 2 - Delhi to Kolkata
• NH 3 – Agra to Mumbai",Geography,North Bihar,Sone River,CLASSIFIED
Q001027,67th RE-EXAM BPSC,Patna International Airport is directly connected to the following.,"Kathmandu (Nepal), New Delhi, Kolkata, Mumbai, Lucknow Varanasi and Ranchi","Bengaluru, Hyderabad and Dhaka","Islamabad, Dhaka and Bengaluru","Washington, Dhaka and Chenna","(A) (A) Kathmandu (Nepal), New Delhi, Kolkata, Mumbai, Lucknow, Varanasi and Ranchi.","Patna International Airport is known as Jai Prakash Narayan Airport. Kathmandu, New Delhi, Mumbai, Kolkata, Lucknow, Roche, Varanasi etc. are directly connected from here",Geography,Transport,National Highway-2 (NH-2) - Patna,CLASSIFIED
Q001028,67th RE-EXAM BPSC,Air services are provided in Bihar by the following.,Indian Airlines only,Sahara Airlines only,Only Royal Nepal Airlines,"Indian Airlines, Sahara Airlines and Royal Nepal Airlines","(D) (D) Indian Airlines, Sahara Airlines and Royal Nepal Airlines","Airlines in Bihar are mainly operated by Indian Airlines, Sahara Airlines etc. At present, air services are also provided by Indian Airlines, Air India, Indigo, SpiceJet.",Geography,Industries,Patna International Airport - Air Services,CLASSIFIED
Q001029,67th RE-EXAM BPSC,The Planning Commission estimated the following percentage of Below Poverty Line (BPL) for Bihar in 1993-94.,55,65,45,35,(D) (D) 35,The Planning Commission had reported the number of people living below the poverty line in Bihar to be 35% in 1993-94.,Geography,Transport,Bihar - Air Services,CLASSIFIED
Q001030,67th RE-EXAM BPSC,"In Bihar, although 'Zamindari' was statutorily abolished in 1952, the social basis of land control remained in the hands of the following.",Middle caste Hindus,Scheduled caste Hindus,Dominant caste Hindus,Scheduled Tribe Hindus,(C) (C) Dominant caste Hindus,"After the abolition of Zamindari in 1952, land contro remained mainly in the hands of dominant caste Hindus.",Bihar Economy,Bihar Budget,1993-94 BPL Estimation,CLASSIFIED
Q001031,67th RE-EXAM BPSC,How many Industrial Area Development Authorities were there in the state of Bihar (prepartition)?,"Six, namely Adityapur, Bokaro, Patna, Ranchi, Darbhanga and Muzaffarpur.","Five. Such as Adityapur, Bokaro, Darbhanga, Muzaffarpur and Patna.","Seven, namely Adityapur, Bokaro, Patna, Darbhanga, Muzaffarpur, Ranchi and Bhojpur","Four, namely Adityapur, Muzaffarpur, Bhojpur and Khagaria","(A) (A) Six, namely Adityapur, Bokaro, Patna, Ranchi, Darbhanga and Muzaffarpur.","Before the bifurcation of Bihar state in the year 2000 there were development authorities mainly in Muzaffarpur, Darbhanga, Patna, Roche, Bokaro Adityapur.",History of Bihar,Sher Shah Suri,Administrative Reforms,CLASSIFIED
Q001032,67th RE-EXAM BPSC,Name the scheme of Bihar which 'focuses on creation of high level infrastructural facilities required for setting up export oriented units,Integrated Infrastructural Development (IID),Export Promotion Industrial Park (EPIP),Concept of Build-Operate Transfer (BOT),Software/Hardware Technology Park (STP/Http),(A) (A)Integrated Infrastructural Development (IID),"The main objective of setting up Integrated Infrastructural Development (IID) is to create high level quality infrastructural facilities.

48th - 52nd BPSC",Bihar Economy,Infrastructure,Bihar Industrial Area Development Authorities,CLASSIFIED
Q001033,67th RE-EXAM BPSC,The infant mortality rate of Bihar state is:,More than Jharkhand,Equal to Jharkhand,Less than Jharkhand,All India level,(A) (A) More than Jharkhand,"The infant mortality rate of Bihar state is higher than that of Jharkhand. According to the 2001 census, the infant mortality rate of Bihar is 42/1000 and the infant mortality rate of Jharkhand is 41/1000. Current IMR of Bihar is 29.",Indian Economy,Bihar Economy,Bihar Budget,CLASSIFIED
Q001034,67th RE-EXAM BPSC,"For the first time in the history of Bihar, the economic survey of the state was presented by–",Nitish Kumar,Lalu Prasad,Sushil Modi,none of these,(C) (C) By Sushil Mod,"In the year 2006-07, for the first time the Economic Survey of Bihar State was presented by Sushil Kumar Modi, the then Deputy Chief Minister and Finance Minister of Bihar.",History of Bihar,Sher Shah Suri,Administrative Reforms,CLASSIFIED
Q001035,67th RE-EXAM BPSC,"According to the development report of the year 2006-07, the Human Development Index of Bihar is less than the National Human Development Index.",15 percent,20 percent,25 percent,10 percent,(B) (B) 20 percent,Human development index in Bihar is 20% less than the national human development index. This figure was released on the basis of growth data for the year 2006 – 07.,Indian Economy,Development,Human Development Index,CLASSIFIED
Q001036,67th RE-EXAM BPSC,"In the year 2006-07, Bihar's development expenditure of its total expenditure was-",About 60 percent,67 percent,56 percent,54 percent,(C) (C) 56 percent,"The budget was presented in 2008 by then Finance Minister Sushil Kumar Modi, in which the state's development expenditure was 56% of its total expenditure.",Indian Economy,Bihar Economy,Development expenditure,CLASSIFIED
Q001037,67th RE-EXAM BPSC,What is the main source of wealth in Bihar at present?,Industry,Agriculture,Natural resources,Mineral wealth,(B) (B) Agriculture,Bihar has been an agricultural state. Even at present agriculture is the main source of wealth in Bihar. After the division of Jharkhand from Bihar in the year 2000 the mineral wealth and natural resources went to Jharkhand's share.,Bihar Economy,Agriculture,Main Crops,CLASSIFIED
Q001038,67th RE-EXAM BPSC,What percentage of its total resources is spent by the Bihar government on the salaries and pensions of its employees?,40 percent,50 percent,60 percent,46 percent,(A) (A) 40 percent,"According to the data released by the Government of Bihar, the government spends about 40% of its total resources on the salaries of its employees.",Indian Economy,Bihar Economy,Expenditure,CLASSIFIED
Q001039,67th RE-EXAM BPSC,Where in Bihar did Gandhiji start the Satyagraha movement for the first time in India?,Patna,Gaya,Madhubani,Champaran,(D) (D) Champaran,"The first Satyagraha in India was carried out by Mahatma Gandhi in Champaran in the year 1917. This Satyagraha was done to solve the problems of farmers in Champaran. After this Satyagraha, the Teenkathiya system which had been going on for years was ended.",History of Bihar,Champaran Satyagraha,First Satyagraha movement,CLASSIFIED
Q001040,67th RE-EXAM BPSC,The 'Bodhi Tree' in Bodh Gaya belongs to which generation of its descendants,Third,Fourth,Fifth,sixth,(C) (C) Fifth,"Mahatma Buddha attained enlightenment under the Peepal tree in Bodhgaya itself. According to Buddhis beliefs, this tree is a fifth generation tree",History of Bihar,Buddhism,Bodhi Tree,CLASSIFIED
Q001041,67th RE-EXAM BPSC,"Where is 'Vishwa Shanti Stupa', said to be the world's tallest, in Bihar?",Vaishali,Nalanda,Rajgir,Patna,(C) (C) Rajgir,"The world's tallest ""Vishwa Shanti Stupa"" is located in Rajgir in Nalanda district of Bihar. Apart from this, the historical Akhara of Jarasandha is also situated here. Vishwa Shanti Stupa was built with the cooperation of Japan. It was completed in the year 1969 AD.",Geography,North Bihar,Vishwa Shanti Stupa,CLASSIFIED
Q001042,67th RE-EXAM BPSC,What is 'Nava Nalanda Mahavihar' famous for?,Hieun Tsang Memorial,Birth place of Mahavira,Pali Research Institute,Museum,(C) (C) Pali Research Institute,The Pali Research Center has been established by the government in Nalanda to preserve the Pali language which is related to Buddhism.,History of Bihar,Mauryan Bihar,Nava Nalanda Mahavihar,CLASSIFIED
Q001043,67th RE-EXAM BPSC,By whom was the world's first republic established in Vaishali?,Maurya,Nand,Gupta,Lichhavi,(D) (D) Lichhavi,"The world's first republic was established by the Lichhivas in Vaishali, Bihar. A caste called Lichhavi lived in the northern part of Bihar in the sixth century.",History of Bihar,Vaishali,World's first republic,CLASSIFIED
Q001044,67th RE-EXAM BPSC,Bihar has estimated reserves of coal.,1260 crore tonnes,303 runs,25310 crore tonnes,16 crore tonnes,(D) (D) 16 crore tonnes,"After the separation of Bihar from Jharkhand in the year 2000, all the natural resources went to Jharkhand's share. Till the year 2008, the coal storage in Bihar was about 16 crore tonnes.",History of Bihar,Sher Shah Suri,Administrative Reforms,CLASSIFIED
Q001045,67th RE-EXAM BPSC,The zone headquarters of Railways is located in Hajipur.,Chhattisgarh,Uttar Pradesh,Jharkhand,Bihar,(D) (D) in Bihar,"The headquarters of East Central Railway is located in Hajipur (Bihar). It includes Danapur Railway Division Mughalsarai Railway Division, Sonpur Railway Division and Samastipur Railway Division.",Geography,Rivers,Kosi River,CLASSIFIED
Q001046,67th RE-EXAM BPSC,The percentage of total sown land in the area of Bihar is-,60,40,80,70,(C) (C) 80,The total geographical area of Bihar is 94163 square km In which the percentage of total sown land is about 80%.,History of Bihar,Administration,Permanent Settlement,CLASSIFIED
Q001047,67th RE-EXAM BPSC,It is a joint irrigation project of Bihar and Uttar Pradesh states.,Damodar Valley Project,Kosi Project,Sone Barrage Project,Gandak Project,(D) (D) Gandak Project,Gandak Project is a joint river valley project of Bihar and Uttar Pradesh. Nepal is getting the benefits of thi project under an agreement of 1959. Gandak River in Nepal is called Saligrami or Salgrami.,Indian Economy,Agriculture,Total Sown Land,CLASSIFIED
Q001048,67th RE-EXAM BPSC,"According to the 2001 census, what percentage of population of India was… reside in Bihar state.",8,10,11,12,(A) (A) 8,"According to the 2001 census, about 8% of India's population lived in Bihar. At present, Bihar is the third most populous state in the country.",Indian Economy,Development,Human Development Index,CLASSIFIED
Q001049,67th RE-EXAM BPSC,"According to the 2001 census, Bihar is the largest populous state of India.",Second,Third,Fourth,Fifth,(B) (B) Third,"According to the 2001 census, Bihar was the third largest state in the country. In the year 2001, the population of Bihar was 8,29,98,509. According to 2011 census, the population of Bihar is 10,40,99,452.",Indian Economy,Population,2001 Census Population of Bihar,CLASSIFIED
Q001050,67th RE-EXAM BPSC,It is the third state in terms of population and twelfth in area in India.,Maharashtra,Madhya Pradesh,Karnataka,Bihar,(D) (D) Bihar,About 8.60 percent of India's total population lives in Bihar. Bihar ranks third in terms of population and 12th in area.,History of Bihar,Administrative Reforms,Largest Populous State,CLASSIFIED
Q001051,67th RE-EXAM BPSC,Iltutmish appointed his first Subedar in Bihar:,Aivaz,Nasiruddin Mahmood,Alimardan,Malik-Jani,(D) (D) Malik-Jani,"Iltutmish had appointed Malik-Jani as his first governor in Bihar. After ascending the throne of Delhi, Iltutmish established his authority over Bihar in 1225 AD.",History of Bihar,Sher Shah Suri,Zone Headquarters at Hajipur,CLASSIFIED
Q001052,67th RE-EXAM BPSC,When did Humayun attack Chunar Fort for the first time?,1532,1531,1533,1536,(A) (A) 1532,"Humayun attacked Chunar Fort for the first time in 1532 AD. In 1531 AD he attacked Kalinjar. Humayun's biggest enemy was his contemporary ruler Sher Shah Suri. At the time when Humayun attacked Chunar Fort, Chunar Fort was under Sher Shah Suri.",History of India,Mughal Empire,Iltutmish,CLASSIFIED
Q001053,67th RE-EXAM BPSC,Akbar merged Bengal and Bihar into the Mughal Empire:,1590,1575,1576,1572,(C) (C) 1576,Akbar conquered Bihar and Bengal in 1576 and merged it into the Mughal Sultanate. Akbar's tenure was from 1556 – 1605.,History of Bihar,Revolt of 1857,Attempt to assassinate King's Ford in Muzaffarpur,CLASSIFIED
Q001054,67th RE-EXAM BPSC,Which person from Jagdishpur led the revolutionaries in the revolt of 1857 AD?,Kunwar Singh,Chandrashekhar,Tirat Singh,Ram Singh,(A) (A) Kunwar Singh,The revolution of 1857 was led by Babu Veer Kunwar Singh in Jagdishpur. Veer Kunwar Singh was born in 1777 AD and died in 1858 AD. Veer Kunwar Singh belonged to the Rajput community and belonged to the Ujjain branch of Rajputs.,History of India,Mughal Empire,Akbar merged Bengal and Bihar,CLASSIFIED
Q001055,67th RE-EXAM BPSC,"Emperor Shah Alam II granted Diwani of Bengal, Bihar and Orissa to the East India Company:",12 August 1765,"18 August, 1795","29 August, 1795","21 August, 1765",(A) (A) 12 August 1765,Emperor Shah Alam II granted the Diwani of Bengal Bihar and Orissa to the East India Company on 12 August 1765.,History of Bihar,Revolt of 1857,Jagdishpur revolutionaries,CLASSIFIED
Q001056,67th RE-EXAM BPSC,When was the attempt to assassinate King's Ford in Muzaffarpur?,1908,1909,1907,1911,(A) (A) 1908,"On 30 April 1908, an attempt to assassinate Kingsford was made in Muzaffarpur by Prafulla Chaki and Khudiram Bose. Khudiram Bose was given death sentence for this act.",History of India,Mughal Empire,Shah Alam II granted Diwani to East India Company,CLASSIFIED
Q001057,67th RE-EXAM BPSC,Prabhavati Devi was a freedom fighter of which region?,Champaran,Patna,Bhagalpur,Shahabad,(B) (B) Patna,Women also played a leading role in India's freedom struggle. Prabhavati Devi also led the Patna region in this freedom struggle. Prabhavati Devi was the wife of Loknayak Jaiprakash Narayan.,History of Bihar,Bihar's Role in 1857,Revolt of 1857,CLASSIFIED
Q001058,67th RE-EXAM BPSC,When did Baldev Sahay resign from the post of Advocate General?,1942,193,1913,1911,(A) (A) 1942,Baldev Sahay had resigned from the post of Advocate General in 1942 AD during the Quit India Movement.,History of Bihar,Sher Shah Suri,Administrative Reforms,CLASSIFIED
Q001059,67th RE-EXAM BPSC,In which jail was Dr. Rajendra Prasad imprisoned during the 1942 movement?,Bankipur Jail,Hazaribagh Jail,Camp Jail,Bhagalpur Jai,(A) (A) Bankipur Jail,"Rajendra Prasad was kept in Bankipur jail during the Quit India Movement. In this movement, Jaiprakash Narayan was also imprisoned and kept in Hazaribagh jail. The resolution for Quit India Movement wa passed in the Congress session on 8 August 1942. In which Mahatma Gandhi had given the slogan of “Do o Die”.",History of Bihar,Dr. Rajendra Prasad,Imprisonment during 1942 movement,CLASSIFIED
Q001060,67th RE-EXAM BPSC,Who was the national leader of Champaran Indigo Movement?,Mahatma Gandhi,Birsa Munda,Baba Ramchandra,Ram Singh,(A) (A) Mahatma Gandh,"On 10 April 1917, Mahatma Gandhi came to Champaran and heard the problems of the farmers here. After this, Mahatma Gandhi met Lieutenant Governor Edward Gate to solve their problems, after which the teen Kathiya system was abolished. Gandhiji became directly involved in Indian politics through the Champaran Satyagraha.",History of Bihar,Champaran Satyagraha,Gandhi,CLASSIFIED
Q001061,67th RE-EXAM BPSC,What was the area of work of Birsa Munda?,Champaran,Ranchi,Ballia,Alipore,(B) (B) Ranchi,The leader of the Munda rebellion was Birsa Munda. Whose work area extended to the areas around Ranchi. Munda rebellion is also known as Ulgulan rebellion.,History of Bihar,Birsa Munda,Area of work,CLASSIFIED
Q001062,67th RE-EXAM BPSC,Jai Prakash Narayan was associated with which party:,Congress Party,Communist Party,Socialist Party,Kisan Sabha,(C) (C) Socialist Party,"In the year 1934, Congress Socialist Party was formed, whose president was Acharya Narendra Dev and secretary was Jayaprakash Narayan.",History of Bihar,Bihar Administration,Founder of Pataliputra,CLASSIFIED
Q001063,67th RE-EXAM BPSC,Who was the leader of revolt of 1857 in Bihar.,Maulvi Ahmadullah,Tatya Tope,Nana Saheb,Kunwar Singh,(D) (D) Kunwar Singh,"The revolution of 1857 is called India's first freedom struggle. This revolution took place in various areas of India, in which it was led by Veer Kunwar Singh in Bihar.",Indian Polity,Bihar Legislature,Bihar Socialist Party,CLASSIFIED
Q001064,67th RE-EXAM BPSC,The founder of Bihar Socialist Party was:,J.P. Narayan,Satya Bhakta,M.N. Roy,Subhash Chandra Bose,(A) (A) J.P. Narayan,"Bihar Socialist Party was established in the year 1931. Its founding members were Jaiprakash Narayan, Gangasharan Sinha, Ramvriksh Benipuri etc.",History of Bihar,Revolt of 1857,Leader,CLASSIFIED
Q001065,67th RE-EXAM BPSC,The founder of Pataliputra was :,Udayan,Ashoka,Bimbisara,Mahapadnanda,(A) (A) Udayan,The city of Pataliputra was founded by Udayan at the confluence of Son and Ganga. He shifted the capital of Magadha from Rajgriha to Pataliputra.,Bihar Economy,Permanent Settlement,Prevalent form,CLASSIFIED
