Question ID,Questions,Option A,Option B,Option C,Option D,Predicted Subject,Predicted Topic,Predicted Subtopic,Subject Correct (Y/N),Correct Subject (if N),Topic Correct (Y/N),Correct Topic (if N),Notes
Q000558,The Department of State was established under whose leadership?,Mahatma Gandhi,J. L. Nehru,G. B. Pant,Sardar Patel,Geography,Rivers,Kosi-Mechi Link Project,N,History of India,N,Post-Independence Integration of States,Department of States (Sardar Patel era) tagged with the same stuck 'Kosi-Mechi Link Project' error
Q001117,Whose incarnation did the followers of Birsa Munda consider him to be?,Sing Bonga,Dharti Abba,Mago Mank,Bir Sing,History of Bihar,Administrative Reforms,Sher Shah Suri,Y,,N,Tribal Movements in Bihar,"Birsa Munda uprising is a tribal movement, unrelated to Sher Shah Suri"
Q001666,"Rules of origin are the essential criteria for determining the national source of a product. 2. Rules of origin help customs agencies know what rules and what duties apply to a given product. 3. They are used for the purpose of trade statistics. 4. Their importance is evidenced by the fact that in many cases taxes and restrictions depend on the source of imports. 25. Consider the following statements about infant mortality rate : 1. It is the probability of dying between birth and exactly 1 year of age, expressed per 10000 live births. 2. The infant mortality rate in the year 1950 was 189.6. 3. In the year 2019, the infant mortality rate was 30. 4. As per the Sample registration System (SRS) Bulletin of Registrar General of India (RGI), the State with the highest infant mortality rate in the year 2019 was Uttar Pradesh Which of the statements given above are correct?","2, 3 and 4",Only 2 and 3,1 and 4,"1, 2 and 3",Indian Economy,Development,Infant Mortality Rate,Y,,Y,,Matches the infant-mortality-rate portion of this garbled multi-part question
Q002668,India has signed a tripartite MoU with which countries for civil nuclear cooperation?,USA and Nepal,Japan and Myanmar,Russia and Bangladesh,Germany and Sri Lanka,Current Affairs,International,India-SACEP MoU,Y,,Y,,Topic bucket (International) fine even though subtopic (SACEP) is wrong
Q002680,The head of state of the United Kingdom is :,Queen Elizabeth I,Queen Elizabeth I,Queen Elizabeth II,Queen Elizabeth IV,Indian Polity,Union Government,Head of State,N,Current Affairs,N,World Affairs,"About the UK's head of state, not Indian Polity"
Q002777,Radha Mohan Cup is related to which sport?,Polo,Football,Cricket,Tennis,Art & Culture,Bihar Culture,Radha Mohan Cup,Y,,Y,,
Q001523,Identify the correct order of the states placed in decreasing order of percentage of net sown land under irrigated land -,"Punjab, Uttar Pradesh, Andhra Pradesh, Haryana","Uttar Pradesh, Punjab, Haryana, Andhra Pradesh","Punjab, Haryana, Uttar Pradesh, Andhra Pradesh","Punjab, Haryana, Andhra Pradesh, Uttar Pradesh",Geography,Agriculture,Net Sown Land Under Irrigated Land,Y,,Y,,
Q002246,Organic agriculture is a farming system in which,"Maximum use of chemicals is done in the form of fertilizers, herbicides and pesticides.",Volcanic eruption,Decay of organic matter,Photosynthesis,General Science,Biology,Organic Agriculture,N,Agriculture,N,Organic Farming,"Organic agriculture is an Agriculture topic, not General Science"
Q001104,"According to the female literacy rate of 2011, which is the top position of Bihar among the 36 states/union territories of India?",35,36,33,34,Geography,Population,Female Literacy Rate,Y,,Y,,
Q001620,The common borders of Israel are-,"With Lebanon, Syria, Jordan and Egypt","With Lebanon, Syria, Turkey and Jordan","With Lebanon, Turkey, Jordan and Egypt","With Lebanon, Syria, Iraq and Egypt",Geography,Location and Boundaries,Israel Borders,Y,,Y,,
Q001130,"According to the Cabinet Mission Plan, Bihar was kept in which group in the grouping of states?",Group B,Group C,Group A,None of these,Bihar Polity & Governance,Bihar Legislature,Legislative Assembly,N,History of India,N,Cabinet Mission Plan/Constitutional Development,"1946 Cabinet Mission Plan is national constitutional history, not Bihar Legislature"
Q002055,Isotopes of an element differ in:,The number of protons,The mass number,The number of electrons,The atomic number,General Mental Ability & CSAT,Mathematical & Symbol Operations,Operator Substitution,N,General Science,N,Atomic Structure,"Isotopes fact is Chemistry/Physics, not a reasoning/symbol puzzle"
Q001674,What is the policy measure adopted by the Government of India to improve the system of agricultural marketing?,Public Distribution System (PDS),Minimum Support Price (MSP),Maintenance of buffer stock,More than one of the above,Indian Economy,Financial System,Policy Measures for Agricultural Marketing,Y,,N,Agricultural Marketing & Policy,"Should be an agricultural-policy topic, not 'Financial System'"
Q000880,Which district of Bihar has recorded the highest sex ratio as per 2011 census?,Siwan,Gopalganj,Saran,Kishanganj,Geography,Population,Sex Ratio - 2011 Census,Y,,Y,,
Q002079,Who is regarded as the Father of Modern Chemistry?,Rutherford,Einstein,Lavoisier,C.V. Raman,General Science,Chemistry,Famous Chemists,Y,,Y,,
Q000386,During the Quit India Movement parallel ‘NationalGovernment’ was established at many places. Which of the following is not correctly matched?,Raiyati Sarkar- Kheda (Gujarat),Prati Sarkar-Satara (Maharashtra),Praja Mandal-Talchar (Orissa),Jatiya Sarkar-Tamluk (Bengal),Disaster Management,Natural Disasters,Flood Management,N,History of India,N,Indian National Movement (Quit India),"Quit India parallel governments, unrelated to Disaster Management"
Q000582,Who was the first Indian woman president of the Indian National Congress?,Mrs. Annie Besant,Sucheta Kripalani,Sarojini Naidu,Indira Gandhi,History of India,Indian National Movement,Non-Cooperation Movement,Y,,N,Indian National Congress Leadership,"About INC's first woman president, not specifically the Non-Cooperation Movement"
Q000455,Which of the following persons had participated actively in the Revolt of 1857?,Nana Saheb (Kanpur),Begum Hazrat Mahal (Lucknow),Maulvi Ahmadullah (Faizabad),Begum Zeenat Mahal (Delhi),History of India,Revolt of 1857,Participants,Y,,Y,,
Q000068,What is true about Censure Motion?,It is not different from No-confidence motion,It is different from the No-confidence motion,It is not mandatory to mention the reasons in this motion,Permission of the House is not essential to present it,General Mental Ability & CSAT,Coding-Decoding,Arithmetic Symbol-Substitution,N,Indian Polity,N,Parliamentary Procedures/Motions,"Censure Motion is a polity/procedure fact, not coding-decoding"
Q002756,When did the Indian Postal Department start 'Doot Dak Seva' to compete with 'Courier Service'?,1988,1987,1989,1986,Geography,Rivers,Kosi-Mechi Link Project,N,Miscellaneous,N,Postal History,Postal service history tagged with the same stuck 'Kosi-Mechi Link Project' error
Q000299,Which famous war took place in the year 1565 AD?,Battle of Panipat I,Battle of Panipat II,Battle of Khanwa,Battle of Talikota,History of India,Mughal Empire,Karkhanas for Painting,Y,,N,Vijayanagara Empire/Deccan Sultanates,"Battle of Talikota (1565) involved Vijayanagara, unrelated to Mughal karkhanas"
Q002483,The value of Human Development Index of Bihar in 2019 was :,0.641,0.613,0.596,0.574,Bihar Economy,Human Development,BNI Dimensions,Y,,Y,,
Q002522,Which among the following is not a member of the Quadrilateral Security Dialogue–an informal strategic forum?,India,Japan,China,Australia,Internal Security,Terrorism,Terrorist Groups,N,Current Affairs,N,International Relations (Quad),"Quad membership is current affairs/international relations, not Internal Security/Terrorism"
Q002320,The most common carrier of communicable diseases is :,Ant,Housefly,Dragonfly,Spider,General Science,Biology,Disease Carriers,Y,,Y,,
Q000382,Match the List - I with List - II and choose the correct answer: The correct matching is as follows- Organization • Swadeshi Sevak Home • United India House • Yugantar Ashram San • INA or Azad Hind Fauj Headquarters Vancouver Seattle Francisco Rangoon 32. When did Muslim League observed “Direct Action Day”?,14-Aug-46,15-Aug-47,16-Aug-46,More than one of the above,Internal Security,Terrorism,Jihadist Terrorism,N,History of India,N,Indian National Movement (Partition era),"Direct Action Day (1946) is freedom-movement/partition history, not terrorism"
Q002494,The Central Vista Project refers to –,construction of an IT park in New Delhi.,construction of a new Parliament the Prime Minister and the Vice President residences along with a common Central Secretariat,Construction of a commercial area in New Delhi,Construction of residences for all minister,Miscellaneous,Miscellaneous,Central Vista Project,N,Current Affairs,N,National Infrastructure Projects,"Central Vista is a current government project, not generic Miscellaneous"
Q002615,In which year did Arjuna Award started?,1989,1997,1961,1899,General Mental Ability & CSAT,Coding-Decoding,Symbol Substitution,N,Art & Culture,N,Sports Awards & Honours,"Arjuna Award year is a sports-awards fact, not coding-decoding"
Q000874,'Bihar Herald' was started in 1875 AD -,Munshi Surajmal,Rai Roshan Lal,Babu Guru Prasad Sen,Krishna Bhatt,Art & Culture,Bihar Culture,Bihar Herald Newspaper,Y,,Y,,
Q000834,"In Tinkathia System in Bihar, how much land was to be reserved for indigo cultivation?",01-Oct,01-Mar,Mar-20,Mar-25,Bihar Economy,Agriculture,Tinkathia System,N,History of Bihar,N,Champaran Satyagraha/Indigo System,"Tinkathia system is colonial-era Bihar history, more specific than generic Bihar Economy/Agriculture"
Q000577,Which among the following viceroy period the title of ‘Rai Bahadur’ and ‘Khan Bahadur’ were began to conferred to Indian ?,Lord Ripon,Lord Lytton,Lord Mayo,Lord Dufferin,Geography,Rivers,Kosi-Mechi Link Project,N,History of India,N,British Colonial Titles/Administrative Policies,Same stuck 'Kosi-Mechi Link Project' error on a colonial-titles history question
Q002641,In which airport. NDMA conducted a mock drill based on CBRN emergency in April 2018?,IGI - New Delhi,LNJP - Patna,CSI – Mumbai,DABH - Indore,Disaster Management,Bihar Focus,NDMA mock drill CBRN emergency,Y,,N,Disaster Management Institutions (NDMA),"Drill happened in Delhi, not Bihar-focused"
Q000914,Which district of Bihar is among the three richest districts (in terms of per capita income) at constant prices in 2018-19?,Madhepura,Gaya,Begusarai,Sheohar,Indian Economy,Development,Human Development Index,N,Bihar Economy,N,Per Capita Income/District Economy,"Bihar district-level income data, not national Indian Economy/HDI"
Q000422,Who was the third satyagrahi of individual satyagraha launched by Mahatma Gandhi in 1940?,Vinoba Bhave,Jawaharlal Nehru,Rajendra Prasad,Brahma Dutt,History of India,Indian National Movement,Individual Satyagraha,Y,,Y,,
Q003074,"A cyclist covers distances of 15 km, 20 km and 25 km at speeds of 15 km per hour, 25 km per hour and 15 km per hour respectively, his average speed will be -",30 kilometers per hour,20 kilometers per hour,22.5 kilometers per hour,21.4 kilometers per hour,General Mental Ability & CSAT,Mathematical & Symbol Operations,Operator Substitution,Y,,N,"Speed, Time & Distance",Average-speed word problem; 'Operator Substitution' is the wrong topic label
Q000596,Swami Sahajanand Saraswati formed the All India United Kisan Sabha with the demand for the ‘nationalization of land and waterways’.,Just before his death(B) At a very young age,,in the 1930s (D) in the 1920s,,History of Bihar,Sher Shah Suri,Zafar Shah,Y,,N,Peasant Movements in Bihar (Kisan Sabha),Topic/subtopic (Sher Shah Suri/Zafar Shah) are unrelated 16th-century figures
Q002912,CTBT There is a term which is related to -,From central taxes (B) From trade approva,,International terrorism,Nuclear weapons,Internal Security,Cybercrime,CTBT,N,Current Affairs,N,International Treaties,"CTBT is a nuclear-treaty fact, not Cybercrime"
Q002732,In which six states it was decided by the Union Cabinet in August 2010 to create an institute equivalent to All India Institute of Medical Sciences (AIIMS)?,"Bihar, Chhattisgarh, Madhya Pradesh, Orissa, Rajasthan, Uttarakhand","Bihar, Uttar Pradesh, Himachal Pradesh, Haryana, Kerala, Gujarat","Bihar, Uttarakhand, Jharkhand, Orissa, Andhra Pradesh, Maharashtra","Bihar, Tamil Nadu, Karnataka, Uttar Pradesh, Jammu and Kashmir, Assam",Indian Economy,Development,Human Development Index,Y,,N,Health Infrastructure Schemes,"AIIMS-equivalent institutes is a health-infrastructure topic, not HDI"
Q001484,The largest river of South America is:,Nile,Amazon,Mississippi,Ganga,Geography,Rivers,Dakshin Gangotri - Location,Y,,Y,,Topic (Rivers) fine even though subtopic (Dakshin Gangotri) is wrong
Q001035,"According to the development report of the year 2006-07, the Human Development Index of Bihar is less than the National Human Development Index.",15 percent,20 percent,25 percent,10 percent,Bihar Economy,Bihar Budget,Human Development Index,Y,,N,Human Development,"Should be under Human Development, not Bihar Budget"
Q003039,The dearness-allowance of a person with basic salary Rs. 7700 is increased to 132% from 125% and the tax deduction on both is increased to 22% from 20%. He got salary increased by:,Rs 74.00,Rs 77.00,Rs 385.00,Rs 369.60,Indian Economy,Development,Human Development Index,N,General Mental Ability & CSAT,N,Percentage & Simple Calculations,"DA/salary percentage math problem, not Indian Economy/HDI - same misrouting pattern as other math Qs"
Q001586,"Among the following countries, which one is the largest producer of saffron in the world?",Spain,Greece,New Zealand,Iran,Agriculture,Major Crops,Saffron Production,Y,,Y,,
Q000667,The Frontier Gandhi is known to have said that they have 'thrown to the wolves' him and his movement. Whom is he referring to?,Congress Leadership (B) Muslim League,,British Government (D) Viceroy,,History of Bihar,Important Personalities,Sher Shah Suri,N,History of India,N,Indian National Movement (Partition era statements),Frontier Gandhi (NWFP) is unrelated to Bihar and to Sher Shah Suri
Q001439,Which one of the following states of India is called 'Sugar Bowl'?,Uttar Pradesh,Maharashtra,Bihar,Haryana,Bihar Economy,Agriculture,Sugar Bowl,N,Indian Economy,N,Sugar Production/Crop Belts,"Answer is Uttar Pradesh, not Bihar-specific - shouldn't be tagged Bihar Economy"
