Question ID,Subject,Topic,Subtopic
Q000719,History of India,Revolt of 1857,Meerut
Q000720,History of India,Indian National Movement,Dadabhai Naoroji's 'Purna Swaraj' Movement
Q000721,History of India,Indian National Movement,"August 8, 1942"
Q000722,Indian Polity,Indian National Movement,Gandhiji entered Indian politics
Q000723,History of India,Indian National Congress,President of Indian National Congress in 1947 AD
Q000724,History of India,Patna College,When was the Patna College established?
Q000725,History of Bihar,Formation of Bihar,When was the Bihar State formed?
Q000726,Art & Culture,Bihar Culture,World famous painting
Q000727,History of Bihar,Birsa Munda,Revolt of Birsa Munda
Q000728,History of Bihar,Sher Shah Suri,Acts
Q000729,Bihar Polity & Governance,Bihar Legislature,Acts
Q000730,Bihar Economy,Agriculture,Maize production
Q000731,Geography,Rivers,River names
Q000732,Geography,Rivers,Lychee production
Q000733,Geography,Rivers,Kosi River
Q000734,Geography,Geomorphology,Kosi Plain
Q000735,Agriculture,Major Crops,Wheat
Q000736,Agriculture,Major Crops,Rice
Q000737,Agriculture,Major Crops,Sugarcane
Q000738,History of Bihar,Sher Shah Suri,Administrative Reforms
Q000739,Art & Culture,Sufi Movement,Naqshbandi
Q000740,Geography,Physiographic Divisions,Kosa Hills
Q000741,History of Bihar,Vaishali,Kartik Purnima Fair
Q000742,Bihar Economy,Infrastructure,Hydroelectric Power Corporation
Q000743,History of Bihar,Social Issues,Dr. Rai Sahib Kunwar Singh
Q000744,History of Bihar,Economic Impact,Gareeb Hindustan
Q000745,History of Bihar,Buddhism,Vikramshila University
Q000746,Current Affairs,National,Union Budget 2024
Q000747,History of Bihar,Sher Shah Suri,Takhut Sri Harimandir Ji Patna Sahib
Q000748,History of Bihar,Bihula Festival,Champaran District
Q000749,Current Affairs,Science & Technology,Vishnupad Yojana
Q000750,History of Bihar,British Rule,Formation of Bihar and Orissa Province
Q000751,Current Affairs,Social Issues,Scheduled Caste
Q000752,Bihar Economy,Bihar Budget,Green Budget 2024
Q000753,Art & Culture,Maithili Language,Reign of Pala Dynasty
Q000754,History of Bihar,British Rule,Separation from Bengal
Q000755,History of Bihar,Administrative Reforms,Partition of Bengal
Q000756,Society,Handicrafts,Sujini
Q000757,Geography,Rivers,Kosi River
Q000758,History of Bihar,Sher Shah Suri,Sher Shah Suri's administration
Q000759,Geography,Rivers,Triveni Canal
Q000760,Geography,Soils,Kosi Plain's average height
Q000761,Bihar Economy,Population,Gaya district population
Q000762,History of Bihar,Bakasht Movement,Bakasht Movement organizers
Q000763,History of Bihar,Dutch East India Company,Dutch East India Company's establishment at Patna
Q000764,History of Bihar,Indian National Movement,Bihar Kesari – Lal Behari Dayal
Q000765,History of Bihar,Bhakti Movement,Cook who saved Gandhi's life
Q000766,Current Affairs,Current Affairs,Bihar's plan to make the state pollution-free
Q000767,History of Bihar,Quit India Movement,Tax opposed during Salt Satyagraha
Q000768,History of Bihar,Bihar Politics,Resignation of Krishna Singh Government
Q000769,History of Bihar,Champaran Satyagraha,Mahatma Gandhi
Q000770,History of Bihar,Non-Cooperation Movement,Leaders
Q000771,History of Bihar,Swaraj Dal,Founders
Q000772,History of Bihar,Governors,First Governor
Q000773,History of Bihar,Mahatma Gandhi and Bihar,Author
Q000774,History of Bihar,Churches,Oldest Church
Q000775,History of Bihar,Cities,Kumudlal Ganguly
Q000776,General Mental Ability & CSAT,Patna Women’s College,Founding Society
Q000777,History of Bihar,Railway Stations,Bhagalpur to Mirza Cheuki
Q000778,Geography,Borders,States bordering Bihar
Q000779,Geography,Mineral Production,"Pyrites, Limestone, Gold"
Q000780,Geography,Rivers,Phalgu River confluence
Q000781,Geography,District-wise Geography,North Bihar
Q000782,Geography,Rivers,Kosi River
Q000783,Bihar Economy,Industry,Tea Gardens
Q000784,Bihar Economy,Development,Urbanization
Q000785,Bihar Polity & Governance,Bihar Government Schemes,Khadi Brand Ambassador
Q000786,History of Bihar,Sher Shah Suri,Sita Mother Statue
Q000787,Geography,District-wise Geography,Champaran District
Q000788,Geography,Rivers,Kosi River
Q000789,Bihar Economy,Industry,Bird Ringing Station
Q000790,Bihar Economy,Agriculture,Vulture Conservation Plan
Q000791,History of Bihar,Magadha,Timur
Q000792,History of Bihar,Sher Shah Suri,Sidiq Khan
Q000793,History of Bihar,Bihar Polity & Governance,Bihar Revolt of 1915
Q000794,History of Bihar,Administrative Reforms,Orissa Separation
Q000795,Geography,Rivers,Kosi River
Q000796,Geography,Rivers,Gandak River
Q000797,Geography,Rivers,Telhar Kund Waterfall
Q000798,Geography,District-wise Geography,Arwal District
Q000799,Geography,Rivers,Dashpastur Lake
Q000800,Bihar Economy,Industry,Silk Industry
Q000801,Bihar Economy,Industry,Patna Silk
Q000802,Indian Economy,Development,Female Literacy Rate (2011 Census) - 66.3
Q000803,Bihar Economy,Fiscal Policy,Fiscal Deficit - 3.3% of GSDP
Q000804,Geography,District-wise Geography,"Urbanization Order - Patna, Gaya, Muzaffarpur, दरभंगा, भागलपुर"
Q000805,Bihar Polity & Governance,Bihar Government Schemes,Saat Nischay Part-2 Scheme
Q000806,Bihar Economy,Infrastructure,Irrigation water to every field
Q000807,History of Bihar,Sher Shah Suri,Azad Dasta
Q000808,Indian Economy,Fiscal Policy,Fiscal deficit in Bihar during 2021-22
Q000809,History of Bihar,Champaran Satyagraha,Mahatma Gandhi
Q000810,Geography,District-wise Geography,Women population in Bihar districts (2011 Census) – specific district name needed for accurate classification
Q000811,History of Bihar,Sasaram,First sitting of the Bihar Legislative Council
Q000812,Art & Culture,Bihar Culture,Rashmi Kumari
Q000813,Indian Economy,Development,"Digital India Award, 2020"
Q000814,Indian Polity,Constitutional Bodies,Seats reserved for SC candidates in Bihar Legislative Assembly
Q000815,Bihar Economy,Human Development,50% reservation to women in Panchayat bodies in Bihar
Q000816,History of Bihar,Formation of Bihar and Orissa Province,Division of Bihar into Jharkhand
Q000817,Geography,Rivers,Kosi River
Q000818,Bihar Economy,Bihar Budget,Human Development Sub-Mission
Q000819,History of Bihar,Champaran Satyagraha,Launch District - Saran
Q000820,History of India,Rebellions,Santhal Rebellion - 1855 AD
Q000821,History of India,Buddhism,Lord Buddha - Bodh Gaya
Q000822,History of India,Buddhism,Siddhartha Gautama - Bodh Gaya
Q000823,History of India,Revolutionary Movements,Anushilan Samiti - 1913 AD
Q000824,History of Bihar,Political Parties,Bihar Socialist Party - 1931 AD
Q000825,History of Bihar,Sher Shah Suri,Sher Shah's Tomb - Sasaram
Q000826,Geography,Rivers,Son River & Ganga Confluence - West Champaran
Q000827,Environment & Ecology,Biodiversity,Ramsar Site - Mahatma Gandhi Gram
Q000828,Geography,Geographical Features,Brahmayoni Hill - Nalanda
Q000829,Geography,District-wise Geography,Number of districts
Q000830,History of Bihar,Sher Shah Suri,First Chief Minister
Q000831,Geography,Rivers,First Congress session
Q000832,History of Bihar,Jayaprakash Narayan,Title given to him
Q000833,History of Bihar,Formation of Bihar and Orissa Province,Established
Q000834,Bihar Economy,Agriculture,Tinkathia System - Land reserved for indigo
Q000835,Bihar Economy,Industry,Ram Vilas Paswan's political party
Q000836,History of Bihar,Bihar Politicians,First Lok Sabha election
Q000837,History of Bihar,Gandhiji's Satyagraha,First Satyagraha movement in Champaran
Q000838,History of Bihar,Magadha,First capital of ancient Magadha
Q000839,History of Bihar,Vaishali,Swami Sahajanand's relation
Q000840,History of Bihar,Bhakti Movement,Gandhiji's first Satyagraha movement
Q000841,History of Bihar,Bihar Revolt of 1857,Mangal Pandey
Q000842,Geography,Tribes of Bihar,Munda Tribe
Q000843,Geography,Forest Area,Forest Percentage
Q000844,Geography,National Parks,Valmiki National Park
Q000845,Geography,Rivers,Kosi River
Q000846,Geography,Soil Types,Piedmont Swamp Soil
Q000847,Geography,Rivers,Ganga River Flow
Q000848,Bihar Polity & Governance,Bihar Government Schemes,Patna Electric Corporation
Q000849,Bihar Polity & Governance,Bihar Government Schemes,Satat Jivikoparjan Yojana
Q000850,Bihar Polity & Governance,Bihar Government Schemes,Saat Nischay
Q000851,Indian Economy,Development,Bihar Per Capita GDP 2018-19
Q000852,Current Affairs,Bihar Current Affairs,Election Commission Press Note 2020
Q000853,Bihar Polity & Governance,Bihar Government Schemes,Comprehensive Financial Management System (CFMS)
Q000854,Current Affairs,Bihar Current Affairs,"Government of India presented the Krishi Karman Award to the state of Bihar on January 2, 2020"
Q000855,Geography,Bihar,Which city of Bihar is surrounded by five hills?
Q000856,History of India,Bihar Polity & Governance,"The first President of India, Dr. Rajendra Prasad was from which state?"
Q000857,History of India,Bihar,Where was the sixteenth session of Bihari Students Conference held?
Q000858,History of India,Prehistoric India,Chirand
Q000859,History of Bihar,Buddhism,Baba Thakur Das Society
Q000860,History of Bihar,Mauryan Bihar,First Governor of Bihar
Q000861,History of Bihar,British Rule,Number of districts with population less than 10 lakh in 2011
Q000862,Agriculture,Major Crops,Cereals
Q000863,Bihar Economy,Agriculture,Fish Production
Q000864,General Mental Ability & CSAT,Number & Letter Series,Ranking & Ordering
Q000865,Bihar Economy,Agriculture,sugarcane production
Q000866,Geography,Rivers,canalirrigated area
Q000867,Bihar Economy,Human Development,rural female literacy rates
Q000868,Bihar Economy,Development,Bihar State Gross State Value Added (GSVA) 2018-19
Q000869,Bihar Economy,Infrastructure,electricity capacity 2019
Q000870,Bihar Economy,Agriculture,food grain production (Krishi Karman Award 2017-18)
Q000871,History of Bihar,Kunwar Singh,entered Jagdishpur
Q000872,History of Bihar,Bhakti Movement,Golden League established in Deoghar
Q000873,History of Bihar,Sher Shah Suri,first integrated check post established in Bihar
Q000874,History of Bihar,Yusuf Shah Chak,buried in
Q000875,Bihar Polity & Governance,Bihar Legislature,Bihar Herald started in 1875 AD
Q000876,Geography,Rivers,Yusuf Shah Chak burial site
Q000877,Geography,Rivers,Ganga River
Q000878,History of Bihar,Sher Shah Suri,Buxar Battle
Q000879,Geography,Rivers,Kosi River
Q000880,Geography,Population,Munger District
Q000881,History of Bihar,Champaran Satyagraha,Ganga Satia
Q000882,Geography,Rivers,Ganga River (Longest Stretch) – Patna
Q000883,Geography,Population,Patna District
Q000884,History of Bihar,Bhakti Movement,Bhagalpur Salt Satyagraha
Q000885,History of Bihar,Bhakti Movement,Ambari Satyagraha
Q000886,History of Bihar,Social Reform,Searchlight Newspaper – Editor
Q000887,History of Bihar,Bihar Socialist Party,Formation – 1931
Q000888,History of Bihar,Revolt of 1857,Rebellion Leaders – General”}]} 10. Patna
Q000889,History of Bihar,Bihar's Role in 1857,Mahadev Sahai
Q000890,History of Bihar,Sher Shah Suri,Administration Reforms
Q000891,History of Bihar,Champaran Satyagraha,Gandhi's involvement
Q000892,Geography,Rivers,Kosi River
Q000893,History of Bihar,Bihar Provincial Kisan Sabha,Formation
Q000894,Geography,Soils,Dharwad Geological Structure
Q000895,Geography,Minerals,Chromite
Q000896,Indian Economy,Development,NITI Aayog's Health Index 2019
Q000897,Indian Economy,Human Development,Child Sex Ratio (Census 2011) - 910
Q000898,Bihar Economy,Gross State Domestic Product (GSDP),2017-18 - 6.47 Trillion Rupees
Q000899,Bihar Polity & Governance,Important Personalities,Fagu Chauhan - Oath Administration
Q000900,History of Bihar,Bihar Day,Celebration Date - 22 March
Q000901,Geography,Rivers,Kosi River
Q000902,Bihar Polity & Governance,Bihar Administration,Patna High Court Judge Appointment
Q000903,Indian Economy,Development,RK Singh Lok Sabha Constituency
Q000904,Indian Polity,Union Government,Union Minister of State for Home
Q000905,Bihar Economy,Agriculture,Chowkidari Tax
Q000906,History of Bihar,Mughal Bihar,Geological History
Q000907,Geography,Soils,Old Alluvial Soil
Q000908,Geography,Industries,Barauni Refinery
Q000909,History of Bihar,Bhakti Movement,Farmers' Resistance
Q000910,Geography,Agriculture,Traditional Irrigation Methods
Q000911,Geography,Rivers,Kosi River and Ganga River Confluence
Q000912,Geography,District-wise Geography,Vikramshila Dolphin Sanctuary
Q000913,Bihar Economy,Bihar Budget,Bihar's per capita GSDP (2017-18) and estimate at constant prices (2011-12)
Q000914,Geography,District-wise Geography,Bihar districts per capita income 2018-19
Q000915,Bihar Economy,Bihar Budget,State revenue surplus 2018-19 vs 2017-18
Q000916,Bihar Economy,Agriculture,Coarse grains production 2017-18 and growth rate 2013-14 to 2017-18
Q000917,Bihar Economy,Agriculture,'Jeevika' self-help groups formed till September 2018
Q000918,Bihar Economy,Bihar Agriculture,Kisan Kya Kare
Q000919,Art & Culture,Bihar Culture,Motherland
Q000920,Current Affairs,Bihar Current Affairs,Patna Yuvak Sangh
Q000921,History of India,Buddhism,First Jain Council convened in Pataliputra
Q000922,History of India,Mauryan Empire,shifted his capital to Pataliputra
Q000923,History of India,Indian National Movement,Gaya Session 1922
Q000924,Bihar Polity & Governance,Bihar Current Affairs,Champaran Satyagraha
Q000925,History of Bihar,Bihar's Role in 1857,Kunwar Singh
Q000926,History of India,Indian National Movement,27th session of the Indian National Congress
Q000927,History of India,Buddhism,Mahaparinirvana of Lord Buddha
Q000928,History of Bihar,Administrative Reforms,Right of tenants on land recognized by the Bengal Tenancy Act
Q000929,History of Bihar,Bihar Economy,Bihar's Separation from Bengal
Q000930,History of Bihar,Bihar Polity & Governance,Formation of Bihar and Orissa Province
Q000931,History of Bihar,Bihar's Role in 1857,Sher Shah Suri
Q000932,History of Bihar,Bihar Economy,Bihar Socialist Party formed
Q000933,History of Bihar,Bihar's Role in 1857,Indigo Revolt
Q000934,History of Bihar,Bihar Economy,Kunwar Singh joined the rebellion of 1857 against the British
Q000935,History of Bihar,Bihar's Role in 1857,Champaran
Q000936,History of Bihar,Bihar's Role in 1857,Salt Satyagraha
Q000937,Geography,Rivers,Kosi River
Q000938,History of Bihar,Sher Shah Suri,Administrative Reforms
Q000939,Geography,Soils,Black Cotton Soil
Q000940,Geography,Rivers,Ganga River
Q000941,Geography,District-wise Geography,Patna District
Q000942,Indian Economy,Agriculture,Rice Production
Q000943,Indian Economy,Development,Jute Policy
Q000944,Indian Economy,Industries,Industrial Development
Q000945,Geography,Urbanisation,Patna City Infrastructure
Q000946,Current Affairs,Science & Technology,4G Network Availability
Q000947,Bihar Polity & Governance,Bihar Government Schemes,Sulabh Jal Project
Q000948,Indian Economy,Bihar Budget,Mukhya Mantri Kanya Utthan Yojana
Q000949,Geography,Rivers,Kosi River
Q000950,History of Bihar,Sher Shah Suri,Barh Super Thermal Power Station
Q000951,History of Bihar,Vaishali,Formation of Vaishali Mahajan
Q000952,History of Bihar,Administrative Reforms,Bihar's Administrative Reforms under British Rule
Q000953,Bihar Economy,Agriculture,Average Size of Agricultural Land Holdings
Q000954,Indian Economy,Development,Human Development Index
Q000955,Bihar Economy,Infrastructure,Electricity Consumption in Bihar
Q000956,Bihar Economy,Statistics,Road Per Capita in Bihar
Q000957,Geography,Rivers,Ghaghara River
Q000958,Geography,Climatology,Köppen Climate Classification - North Bihar
Q000959,Geography,Soils,Black Cotton Soil
Q000960,Bihar Economy,Agriculture,Soil Types in Bihar Districts
Q000961,Geography,Rivers,Triveni Canal
Q000962,History of Bihar,Buddhism,Mahavir
Q000963,Geography,Plateaus,Kaimur Plateau
Q000964,History of Bihar,Bhakti Movement,Swami Sahajanand Saraswati
Q000965,History of Bihar,Anushilan Samiti,Patna Branch (1913)
Q000966,History of Bihar,Kisan Sabha,Munger (1922-23)
Q000967,History of Bihar,Socialist Party,Bihar Socialist Party Secretary
Q000968,History of Bihar,Indian Constituent Assembly,Bihar Representatives
Q000969,History of Bihar,Bihar Cabinet,First Bihar Cabinet Head
Q000970,Geography,Patna,Patna Lawn to Gandhi Maidan
Q000971,History of India,Partition of India,Partition of Bengal Announcement
Q000972,Indian Economy,Economic Sectors,Sector Growth Rate (2005-06 to 2014-15)
Q000973,Geography,District-wise Geography,Per capita income
Q000974,Bihar Polity & Governance,Bihar Government Schemes,JEEVIKA
Q000975,Bihar Economy,Infrastructure,SPUR project
Q000976,Geography,Rivers,National Highways
Q000977,Bihar Economy,Development,Per capita energy consumption
Q000978,History of Bihar,Social Issues,Birsa Munda
Q000979,History of Bihar,Indian National Movement,Non-Cooperation Movement
Q000980,History of Bihar,Indian National Movement,Quit India Movement
Q000981,History of Bihar,Indian National Movement,All India Forward Bloc
Q000982,History of Bihar,Indian National Movement,Lawyer
Q000983,Geography,North Bihar,Odantpuri
Q000984,History of Bihar,Mughal Bihar,Muslim conqueror
Q000985,History of India,Mahajanapadas,Karnata dynasty
Q000986,History of India,Mauryan Empire,Ashoka
Q000987,History of India,Mauryan Empire,Samrat Ashoka
Q000988,History of India,Mahajanapadas,Buddhist Literature
Q000989,History of India,Bhakti Movement,Basava
Q000990,History of India,Sufi Movement,Baba Farid
Q000991,Geography,Rivers,Kosi River
Q000992,Geography,Geomorphology,Floodplains
Q000993,Geography,Population,Population Density
Q000994,Geography,Industry,Textile Industry
Q000995,Geography,Industries,Bharat Wagon and Engineering Co. Ltd
Q000996,Geography,Transport,National Highway 63
Q000997,History of India,Revolt of 1857,Santhal Revolt
Q000998,Indian Polity,Lok Sabha,Number of Members from Bihar
Q000999,Art & Culture,Bihar Culture,Unique Festivals of Bihar
Q001000,History of Bihar,Champaran Satyagraha,First Satyagraha conducted by Gandhiji
Q001001,History of India,Religious Movements,Birthplace of Guru Hargovind
Q001002,History of Bihar,Vaishali,Birthplace of Guru Tegh Bahadur
Q001003,History of India,Indian National Congress,Gaya Session of 1922 - President
Q001004,History of Bihar,Leaders,Jaiprakash Narayan (CPI) - Nickname
Q001005,Bihar Economy,Industrial Areas,Dalmia City - Famous for
Q001006,Geography,Forests,Forest Area in Bihar (Square Meters) - Approximate Value
Q001007,Geography,Location and Boundaries,Easternmost City in Bihar - Name
Q001008,Geography,Lakes,Lakes Located in Bihar - Name
Q001009,History of Bihar,Bihar Current Affairs,non-cooperation movement of 1920-22
Q001010,History of Bihar,Important Personalities,"Swami Vidyananda, Swami Sahajanand, Sardar Vallabh Bhai Patel"
Q001011,History of Bihar,Bihar during Non-Cooperation,Rahul Sankrityayan
Q001012,Indian Polity,Constitution,Article
Q001013,History of Bihar,Champaran Satyagraha,Rahul Sankrityayan
Q001014,History of Bihar,Bihar's Role in 1857,efforts of the session
Q001015,History of Bihar,Indian National Congress,27th session held in Hazaribagh
Q001016,History of Bihar,Indian National Congress,16th session held in Hazaribagh
Q001017,History of Bihar,Important Personalities,editor of 'Bihari' newspaper
Q001018,History of Bihar,Important Personalities,Rajkumar Shukla's village
Q001019,History of Bihar,Important Personalities,Nivaranchandra Dasgupta
Q001020,History of Bihar,Important Personalities,Kunwar Singh's king
Q001021,History of Bihar,Bihar's Role in 1857,Kunwar Singh
Q001022,Indian Economy,Development,Mahatma Gandhi National Rural Employment Guarantee Act
Q001023,Geography,Rivers,Kosi River
Q001024,Geography,District-wise Geography,Patna District
Q001025,Geography,Rivers,Kosi River
Q001026,Geography,North Bihar,Sone River
Q001027,Geography,Transport,National Highway-2 (NH-2) - Patna
Q001028,Geography,Industries,Patna International Airport - Air Services
Q001029,Geography,Transport,Bihar - Air Services
Q001030,Bihar Economy,Bihar Budget,1993-94 BPL Estimation
Q001031,History of Bihar,Sher Shah Suri,Administrative Reforms
Q001032,Bihar Economy,Infrastructure,Bihar Industrial Area Development Authorities
Q001033,Indian Economy,Bihar Economy,Bihar Budget
Q001034,History of Bihar,Sher Shah Suri,Administrative Reforms
Q001035,Indian Economy,Development,Human Development Index
Q001036,Indian Economy,Bihar Economy,Development expenditure
Q001037,Bihar Economy,Agriculture,Main Crops
Q001038,Indian Economy,Bihar Economy,Expenditure
Q001039,History of Bihar,Champaran Satyagraha,First Satyagraha movement
Q001040,History of Bihar,Buddhism,Bodhi Tree
Q001041,Geography,North Bihar,Vishwa Shanti Stupa
Q001042,History of Bihar,Mauryan Bihar,Nava Nalanda Mahavihar
Q001043,History of Bihar,Vaishali,World's first republic
Q001044,History of Bihar,Sher Shah Suri,Administrative Reforms
Q001045,Geography,Rivers,Kosi River
Q001046,History of Bihar,Administration,Permanent Settlement
Q001047,Indian Economy,Agriculture,Total Sown Land
Q001048,Indian Economy,Development,Human Development Index
Q001049,Indian Economy,Population,2001 Census Population of Bihar
Q001050,History of Bihar,Administrative Reforms,Largest Populous State
Q001051,History of Bihar,Sher Shah Suri,Zone Headquarters at Hajipur
Q001052,History of India,Mughal Empire,Iltutmish
Q001053,History of Bihar,Revolt of 1857,Attempt to assassinate King's Ford in Muzaffarpur
Q001054,History of India,Mughal Empire,Akbar merged Bengal and Bihar
Q001055,History of Bihar,Revolt of 1857,Jagdishpur revolutionaries
Q001056,History of India,Mughal Empire,Shah Alam II granted Diwani to East India Company
Q001057,History of Bihar,Bihar's Role in 1857,Revolt of 1857
Q001058,History of Bihar,Sher Shah Suri,Administrative Reforms
Q001059,History of Bihar,Dr. Rajendra Prasad,Imprisonment during 1942 movement
Q001060,History of Bihar,Champaran Satyagraha,Gandhi
Q001061,History of Bihar,Birsa Munda,Area of work
Q001062,History of Bihar,Bihar Administration,Founder of Pataliputra
Q001063,Indian Polity,Bihar Legislature,Bihar Socialist Party
Q001064,History of Bihar,Revolt of 1857,Leader
Q001065,Bihar Economy,Permanent Settlement,Prevalent form
Q001066,Geography,Rivers,Founder of Pataliputra
Q001067,Bihar Economy,Agriculture,Agro-climatic zones
Q001068,Geography,Floods,Flood area and waterlogged land
Q001069,Geography,Rivers,Kosi River
Q001070,Bihar Economy,Agriculture,Total Fertility Rate
Q001071,History of Bihar,Champaran Satyagraha,Population Density
Q001072,General Mental Ability & CSAT,Coding-Decoding,National Highway Features
Q001073,Bihar Economy,Development,Birth Rate (2002) - Data
Q001074,Bihar Economy,Minerals,Coal Reserves (2003) - Million Tonnes
Q001075,Bihar Economy,Agriculture,Agricultural Workers Ratio
Q001076,Geography,Minerals,Mica Production - State
Q001077,History of Bihar,Sher Shah Suri,Poppy Production - British Rule
Q001078,History of Bihar,Sher Shah Suri,Santhal Defeat (1855 AD) - Commander
Q001079,History of Bihar,Revolt of 1857,Babu Kunwar Singh - Death Year
Q001080,History of Bihar,Hindustan Socialist Republican Army,Revolutionary - Name
Q001081,History of India,Indian National Movement,Delhi Session of 1947 Indian National Congress
Q001082,History of Bihar,Champaran Satyagraha,1922 session of Indian National Congress
Q001083,Bihar Economy,Agriculture,Cow Slaughter Ban
Q001084,Indian Polity,Union Government,Governor of Bihar
Q001085,History of Bihar,Sher Shah Suri,First Non-Congress Chief Minister
Q001086,Bihar Economy,Human Development,Rural Literacy Rate of Bihar
Q001087,Bihar Economy,Infrastructure,Jharkhand as Part of Bihar
Q001088,Bihar Economy,Industries,Teenkathiya System
Q001089,Bihar Economy,Agriculture,Loknayak
Q001090,Bihar Economy,Bihar Budget,Teenkathiya System
Q001091,Indian Economy,Development,Saat Nischay Yojana Campaign
Q001092,Bihar Economy,Fiscal Policy,Fiscal Deficit of Bihar 2021-22
Q001093,History of Bihar,Important Personalities,Ali Gauhar
Q001094,Geography,Rivers,Kosi-Mechi River System
Q001095,Geography,Soils,Black Cotton Soil
Q001096,Geography,District-wise Geography,Araria District
Q001097,Geography,District-wise Geography,Jamui District
Q001098,Bihar Economy,Industry,Textile Industry
Q001099,Geography,Population,Population Growth Rate
Q001100,Bihar Economy,Industry,Kahalgaon Textile Center
Q001101,History of Bihar,Social Movements,Kisan Sabha Movement (1929) - Ali Gauhar
Q001102,History of Bihar,Administrative Reforms,Aliwardi Khan - Deputy Governor
Q001103,Geography,Geomorphology,River Basins - Border with Jharkhand
Q001104,Geography,Geomorphology,Kosa River Basin
Q001105,Geography,Rivers,Diara
Q001106,Bihar Economy,Agriculture,Geographical Indications
Q001107,Geography,Rivers,Son River
Q001108,Bihar Economy,Demography,Scheduled Tribes
Q001109,Bihar Economy,Agriculture,Organic Corridor Scheme
Q001110,Indian Economy,Development,Population Statistics
Q001111,Bihar Polity & Governance,District-wise Geography,Literacy Rate
Q001112,Bihar Economy,Industry,Litchi Production
Q001113,History of Bihar,Sher Shah Suri,Kapilaansh Metal Industry
Q001114,Bihar Economy,Industry,Sudha Cooperative
Q001115,History of Bihar,Social Issues,Kapilaansh Metal Industry
Q001116,Bihar Economy,Agriculture,Litchi Production
Q001117,History of Bihar,Bhakti Movement,Ravidas
Q001118,History of Bihar,Boycott and Swadeshi movement,Golden League
Q001119,History of Bihar,Newspapers,First English newspaper published from Patna
Q001120,History of Bihar,Birsa Munda,Incarnation
Q001121,Agriculture,Indigo Cultivation,Compensation tax
Q001122,Geography,Schools,First Zila school opened in 1835
Q001123,History of Bihar,Dr. Rajendra Prasad,Previous post
Q001124,History of Bihar,1857 Revolt,Local leader of Rajgir Pargana
Q001125,History of Bihar,Diwani Grant,Shah Alam-II and East India Company
Q001126,History of Bihar,Gaurakshini meetings,Establishment during British rule
Q001127,History of Bihar,Bankipur Meeting,Delegate fee reduction
Q001128,History of Bihar,"Government of India Act, 1935",Seats for Bihar in Upper House
Q001129,History of Bihar,Administrative Reforms,Legislative Assembly Elections 1937
Q001130,History of Bihar,Mauryan Bihar,Cabinet Mission Plan
Q001131,Indian Polity,Union Government,Chief Ministers of Bihar
Q001132,Indian Polity,Union Government,Present Chief Secretary of Bihar
Q001133,Geography,Rivers,Kosi River
Q001134,Geography,Industries,Barauni Oil Refinery Capacity
Q001135,Geography,Rivers,District-wise Population Density
Q001136,Geography,Soils,Population Density of Bihar Districts
Q001137,Bihar Economy,Human Development,Literacy Rate in Bihar
Q001138,Geography,Climate,Average Annual Rainfall of Bihar
Q001139,Geography,Rivers,Longitude Lines passing through Bihar
Q001140,Geography,Rivers,Longitude Lines passing through Bihar
Q001141,History of India,Indian National Movement,Mahatma Gandhi
Q001142,History of India,Indian National Movement,Congress Socialist Party
Q001143,History of India,Social Movements,Direct Action Plan
Q001144,History of Bihar,Champaran Satyagraha,Muslim League's Direct Action Plan
Q001145,History of India,Indian National Movement,Jayaprakash Narayan
Q001146,History of Bihar,Jharkhand Movement,Jharkhand Movement Started
Q001147,History of Bihar,Bihar Government,Minister Removal July 2004
Q001148,Indian Polity,Constitution,Constitutional Amendment
Q001149,Indian Polity,Union Government,Speaker of Lok Sabha
Q001150,Indian Polity,Judiciary,Electoral College President
Q001151,Indian Polity,Constitution,Article 352
Q001152,Indian Polity,Constitution,Article 368
Q001153,Indian Polity,Constitution,Article 77
Q001154,History of Bihar,Sher Shah Suri,Portfolio held during interim government of 1946
Q001155,Indian Polity,Constitution,Schedule 11
Q001156,Indian Polity,Panchayati Raj,System of governance
Q001157,Indian Polity,Judiciary,Power of Supreme Court
Q001158,Bihar Economy,Land Revenue,Maximum size of land holding
Q001159,Indian Polity,Constitution,Article 71
Q001160,Indian Polity,Budget,Article 112
Q001161,Indian Polity,International Treaties,Article 73
Q001162,History of Bihar,Anglo-Indian Community,Right to stay in India
Q001163,History of Bihar,Bihar Legislative Council,First elected Chairman
Q001164,Indian Polity,Citizenship,Rights of British Citizens in India
Q001165,Indian Polity,Constitution,Article 243J
Q001166,History of India,Mauryan Empire,Ashoka
Q001167,Current Affairs,Science & Technology,Shompen Tribe
Q001168,Indian Polity,Constitution,Article 113
Q001169,Indian Polity,Parliamentary Procedure,Cut Motion
Q001170,Indian Polity,Representation of Minorities,Anglo-Indian Community
Q001171,Indian Polity,President of India,Speaker of Lok Sabha
Q001172,History of India,Preamble to the Constitution,Adoption Date
Q001173,Indian Polity,Council of Ministers,Restriction on Size
Q001174,Indian Polity,Governor's Powers,Return of Bills
Q001175,Indian Polity,Disqualification of Members,State Legislative Assembly
Q001176,Indian Polity,Scheduled Tribes,Criteria for Declaration
Q001177,Indian Polity,Constitution,Article 342
Q001178,History of Bihar,Champaran Satyagraha,Untouchability Abolition
Q001179,Indian Polity,Union Government,Number of Judges in High Court
Q001180,Indian Polity,Directive Principles,Fifth Schedule
Q001181,Indian Economy,Development,Basic Structure Doctrine
