Question ID,Subject,Topic,Subtopic,Question
Q000563,History of India,British Administration,Sir Michael O’Dwyer assassination,"Sir Michael O’Dwyer was shot dead on 13<sup>th</sup> March, 1940 in London by :"
Q000567,History of India,Revolutionary Movements,Chittagong Armoury Raid,The Chittagong Armoury Raid had been planned by :
Q000568,History of India,Revolutionary Movements,Anandchetty,Which journal was not associated with the revolutionary activities?
Q000571,History of India,Revolutionary Movements,B.R. Ambedkar,Who organized the 'Khudai Khidmatgar' in 1929?
Q000575,History of India,Peasant Movements,Akhil Bhartiya Kisan Congress,Akhil Bhartiya Kisan Congress was founded in :
Q000582,History of India,Social Issues,Indian National Congress,Who was the first Indian woman president of the Indian National Congress?
Q000583,History of India,Social Issues,Madam Cama,Where did Madam Cama hoist the first tricolour flag in 1907?
Q000584,History of India,Social Issues,Tricolour Flag,Who founded the Pagal Panthi?
Q000585,History of India,Social Issues,Pagal Panthi,Who were the Faraizis?
Q000586,History of India,Social Issues,Faraizis,The correct geographical location for the Ramosi Uprising was
Q000592,History of India,Social Reform,Katherine Mayo,"What was the common relationship between Katherine Mayo, Aldous Huxley, Charles Andrews and William Digby?"
Q000593,History of India,Nationalist Movements,Bhagat Singh,Who penned the following lines? “Sarfaroshi ki tamanna ab hamare dil me hai/Dekhna hai zor kitna baju-e-qatil me hai”.
Q000596,History of India,Social Reform,Swami Sahajanand Saraswati,Swami Sahajanand Saraswati formed the All India United Kisan Sabha with the demand for the ‘nationalization of land and waterways’.
Q000599,History of India,Social Reform,1909,Madras Mahajan Sabha was established in
Q000605,History of India,Bharti Movement,Sher Shah Suri,Who among these was famous as 'Sher-e-Punjab'?
Q000610,History of India,Social Reform,Prarthana Samaj,Who was the founder of 'Prarthana Samaj'?
Q000611,History of India,Renaissance,Father of Indian Renaissance Movement,Who was the father of Indian Renaissance Movement?
Q000612,History of India,Social Reform,Founder of 'Swaraj Dal',Who founded 'Swaraj Dal'?
Q000620,Indian Polity,Panchayati Raj,73rd Amendment,In which year did Lord Curzon cancel the partition of Bengal?
Q000623,Indian Economy,Agriculture,Land Reforms,Why did Mahatma Gandhi support the Khilafat movement?
Q000624,History of India,Bharti Movement,Khilafat Movement,The method of movement of the moderate party leaders of Congress was:
Q000639,Art & Culture,Bhakti Movement,Mahavir Singh,'Satyarth Prakash' was composed by
Q000647,Indian Economy,Agriculture,All India Trade Union Congress – Bombay,When was the All India Trade Union Congress established in Bombay?
Q000661,Indian Economy,Bihar Economy,Indigo Movement,What is the chronological sequence of the following movements? 1. Deccan Riots 2. Indigo movement 3. Movement against land alienation in Punjab 4. Patni Movement Select the correct answer using the code given below.
Q000665,History of Bihar,Patni Movement,Movement against Land Alienation,Who among the following were responsible for ‘Eka Movement’?
Q000669,Indian Polity,Constitutional Development,Poona Pact Transfer,When was the Poona Pact transferred?
Q000674,History of Bihar,Bihar Polity & Governance,Jawaharlal Nehru,“…..the turning point in Jawaharlal’s ‘mental development’ came with his active participation in the Brussels Congress against colonial oppression and imperialism in February 1927.” Who wrote these words?
Q000682,History of India,Sati Prohibition,Prohibition of Sati Act,When was the Prohibition of Sati Act passed in India?
Q000683,History of India,Social Issues,Thugs,Who is credited with the suppression of Thugs in India?
Q000684,History of Bihar,Mahatma Gandhi,Champaran Satyagraha,When was Mahatma Gandhi tried for the Champaran Satyagraha?
Q000694,History of India,Social Issues,Translation of Nil Darpan,Who had translated the Bengali play Nil Darpan into English?
Q000700,History of India,Bhagavad Gita,Quote by Krishna,"""Remember once again, now that this flag is unfurled, it must not be lowered as long as a single Indian, man, woman, or child lives in India,” Who said this?"
Q000704,History of India,Swadeshi Movement,1905-1911,In which of the following periods did the 'Swadeshi Movement' started in India?
Q000706,History of India,British Rule,Lord Hastings,Who started the 'Red Shirts Movement' to uproot the British from India?
Q000713,History of India,British Rule,Lord Curzon,Who was the Viceroy of India at the time of partition of Bengal in 1905 AD?
Q000714,History of India,Social Reform,Gandhi's Return to South Africa,Which of the following events brought fame to Mahatma Gandhi on his return to South Africa?
Q000716,History of India,Social Reform,Arya Samaj Foundation,Arya Samaj was founded by Swami Dayanand in-
Q000717,History of India,Theosophical Society,Helped by Madame Blavatsky,'Who founded the Theosophical Society?
Q000722,Indian Polity,Indian National Movement,Gandhiji entered Indian politics,Gandhiji entered Indian politics -
Q000723,History of India,Indian National Congress,President of Indian National Congress in 1947 AD,Who was the President of Indian National Congress in 1947 AD
Q000724,History of India,Patna College,When was the Patna College established?,When was the Patna College established?
Q000725,History of Bihar,Formation of Bihar,When was the Bihar State formed?,When was the Bihar State formed
Q000727,History of Bihar,Birsa Munda,Revolt of Birsa Munda,Where did the revolt of Birsa Munda take place ?
Q000739,Art & Culture,Sufi Movement,Naqshbandi,Munger Hilly region is a part of which of the following physiographic region?
Q000743,History of Bihar,Social Issues,Dr. Rai Sahib Kunwar Singh,The writer of the book 'Gareeb Hindustan' which was a critique of British policies and was banned by the British in Bihar in 1930 was-
Q000744,History of Bihar,Economic Impact,Gareeb Hindustan,How much does agriculture contribute to the gross domestic product (GDP) of Bihar?
Q000748,History of Bihar,Bihula Festival,Champaran District,Bihula Festival is celebrated especially in which one of the following districts in Bihar usually in the month of August each vear?
Q000751,Current Affairs,Social Issues,Scheduled Caste,"Which community was categorized as Scheduled Caste (SC) by a 2015 Bihar government notification which was quashed in July 2024 by the Supreme Court, ruling that states cannot make changes to the SC list published under Article 341 of the Constitution?"
Q000753,Art & Culture,Maithili Language,Reign of Pala Dynasty,The Maithili language was started to develop during the reign of which of the following?
Q000756,Society,Handicrafts,Sujini,"Consider the following statements regarding the Vikramshila University in Bihar : 1. It was located in the present-day Banka district of Bihar. 2. It was established by King Gopal I of the Pala dynasty. 3. The Vajrayan sect of Buddhism flourished here. 4. Other subjects like Astronomy, Logic, Law, Grammar and Philosophy were also taught here. Which of the statements given above are incorrect?"
Q000761,Bihar Economy,Population,Gaya district population,What is the current population of Gaya district of Bihar?
Q000762,History of Bihar,Bakasht Movement,Bakasht Movement organizers,The Bakasht movement in Bihar during 1937-1938 was organised by whom?
Q000763,History of Bihar,Dutch East India Company,Dutch East India Company's establishment at Patna,The Dutch East India Company established its factory at Patna in which year?
Q000764,History of Bihar,Indian National Movement,Bihar Kesari – Lal Behari Dayal,The Quit India movement in 1942 witnessed significant contributions from leaders of Bihar. Which prominent Bihar leader was known as the ‘Bihar Kesari’ and actively participated in the Quit India Movement?
Q000765,History of Bihar,Bhakti Movement,Cook who saved Gandhi's life,The cook from Bihar who saved Mahatma Gandhi’s life from a murder attempt by food poisoning in 1917 was
Q000766,Current Affairs,Current Affairs,Bihar's plan to make the state pollution-free,By which year has the Bihar government planned to make the state of Bihar pollution-free by reducing carbon emissions?
Q000768,History of Bihar,Bihar Politics,Resignation of Krishna Singh Government,The elected Government of Bihar formed by Shri Krishna singh resigned in February 1938 for which reason?
Q000770,History of Bihar,Non-Cooperation Movement,Leaders,Who led cultivators in Bihar during the Non-Cooperation Movement?
Q000771,History of Bihar,Swaraj Dal,Founders,Who founded Swaraj Dal in Bihar?
Q000772,History of Bihar,Governors,First Governor,Who among the following was the first Governor of Bihar?
Q000773,History of Bihar,Mahatma Gandhi and Bihar,Author,"Who was the author of Mahatma Gandhi and Bihar, Some Reminiscences?"
Q000774,History of Bihar,Churches,Oldest Church,Which is the oldest church of Bihar?
Q000775,History of Bihar,Cities,Kumudlal Ganguly,"The late actor Kumudlal Ganguly, also known by his stage name Ashok Kumar, was born in which of the following cities of Bihar?"
Q000776,General Mental Ability & CSAT,Patna Women’s College,Founding Society,"In 1940, Patna Women’s College was founded by which of the following societies?"
Q000777,History of Bihar,Railway Stations,Bhagalpur to Mirza Cheuki,Which of the following states of India borders with maximum number of districts in Bihar?
Q000778,Geography,Borders,States bordering Bihar,Which of the following is the last railway station of Bihar in the train route from Bhagalpur towards Mirza Cheuki?
Q000779,Geography,Mineral Production,"Pyrites, Limestone, Gold","With reference to mineral production in Bihar, consider the following statements: 1. Rohtas has the highest deposit of pyrites. 2. Limestone is found in Kaimur (Bhabhua), Munger and Rohtas districts. 3. Gold deposits are found in Jamui district. Which of the above statements is/are correct?"
Q000784,Bihar Economy,Development,Urbanization,"According to the Economic Survey of Bihar, 2021- 22, what is the level of urbanization in the state at present?"
Q000793,History of Bihar,Bihar Polity & Governance,Bihar Revolt of 1915,In which year the Chauri Revolt of Bihar took place?
Q000803,Bihar Economy,Fiscal Policy,Fiscal Deficit - 3.3% of GSDP,Choose the correct order of the following districts of Bihar as per the ascending level of urbanization.
Q000820,History of India,Rebellions,Santhal Rebellion - 1855 AD,Who was the leader of the Santhal Rebellion of 1855 AD?
Q000823,History of India,Revolutionary Movements,Anushilan Samiti - 1913 AD,Who established a branch of Anushilan Samiti in 1913 AD?
Q000824,History of Bihar,Political Parties,Bihar Socialist Party - 1931 AD,Who had formed the Bihar socialist Party in 1931 AD?
Q000828,Geography,Geographical Features,Brahmayoni Hill - Nalanda,Brahmayoni Hill is located in which district of Bihar?
Q000832,History of Bihar,Jayaprakash Narayan,Title given to him,Which title was given to Jayaprakash Narayan?
Q000836,History of Bihar,Bihar Politicians,First Lok Sabha election,Bihar politician late Raghuvansh Prasad Singh was for the first time elected to which Lok Sabha?
Q000837,History of Bihar,Gandhiji's Satyagraha,First Satyagraha movement in Champaran,Who drew Gandhiji's attention to the plight of indigo farmers in Champaran?
Q000840,History of Bihar,Bhakti Movement,Gandhiji's first Satyagraha movement,"Which of the following was Gandhiji's first Satyagraha movement in India, in which he used civil disobedience?"
Q000841,History of Bihar,Bihar Revolt of 1857,Mangal Pandey,Who led the rebellion of 1857 in Bihar?
Q000842,Geography,Tribes of Bihar,Munda Tribe,Which of the following pairs of tribe and district is not correct?
Q000843,Geography,Forest Area,Forest Percentage,The percentage of total forest area in comparison to the total geographical area of Bihar state is-
Q000844,Geography,National Parks,Valmiki National Park,In which of the following districts is the only national Park of Bihar located?
Q000846,Geography,Soil Types,Piedmont Swamp Soil,In which of the following districts of Bihar is Piedmont Swamp soil found?
Q000855,Geography,Bihar,Which city of Bihar is surrounded by five hills?,Which city of Bihar is surrounded by five hills?
Q000856,History of India,Bihar Polity & Governance,"The first President of India, Dr. Rajendra Prasad was from which state?","The first President of India, Dr. Rajendra Prasad was from which state?"
Q000857,History of India,Bihar,Where was the sixteenth session of Bihari Students Conference held?,Where was the sixteenth session of Bihari Students Conference held?
Q000868,Bihar Economy,Development,Bihar State Gross State Value Added (GSVA) 2018-19,What was the growth rate of Bihar economy in the year 2018 – 19 at constant prices?
Q000872,History of Bihar,Bhakti Movement,Golden League established in Deoghar,When did Kunwar Singh entered Jagdishpur?
Q000874,History of Bihar,Yusuf Shah Chak,buried in,'Bihar Herald' was started in 1875 AD -
Q000884,History of Bihar,Bhakti Movement,Bhagalpur Salt Satyagraha,"Population of Bihar – 10,40,99,452 2. Sex ratio – 918 3. Population Density – 1106 4. Literacy – 61.80% 5. Male literacy – 71.21% 6. Female literacy – 51.50% 163. Who led the Salt Satyagraha in Bhagalpur?"
Q000885,History of Bihar,Bhakti Movement,Ambari Satyagraha,Who led the 'Ambari Satyagraha' in Bihar in 1939?
Q000886,History of Bihar,Social Reform,Searchlight Newspaper – Editor,Who was the editor of Searchlight newspaper in Bihar?
Q000887,History of Bihar,Bihar Socialist Party,Formation – 1931,Who formed 'Bihar Socialist Party' in 1931?
Q000888,History of Bihar,Revolt of 1857,Rebellion Leaders – General”}]} 10. Patna,Who led the rebellion of 1857 in Bihar?
Q000893,History of Bihar,Bihar Provincial Kisan Sabha,Formation,Who formed Swaraj Dal in Bihar?
Q000897,Indian Economy,Human Development,Child Sex Ratio (Census 2011) - 910,The growth rate of tertiary sector in Bihar during the year 2017-18 was
Q000898,Bihar Economy,Gross State Domestic Product (GSDP),2017-18 - 6.47 Trillion Rupees,The Gross State Domestic Product (GSDP) of Bihar state at current prices in the year 2017-18 was-
Q000899,Bihar Polity & Governance,Important Personalities,Fagu Chauhan - Oath Administration,Who was the Chief Justice of Patna High Court who administered the oath of office to Shri Fagu Chauhan as the Governor of Bihar in July 2019?
Q000900,History of Bihar,Bihar Day,Celebration Date - 22 March,"'What is the significance of Bihar Day, which is celebrated every year on 22 March?"
Q000909,History of Bihar,Bhakti Movement,Farmers' Resistance,The famous cattle fair of Bihar is organized on Kartik Purnima.
Q000918,Bihar Economy,Bihar Agriculture,Kisan Kya Kare,Who wrote “Kisan Kya Kare”?
Q000924,Bihar Polity & Governance,Bihar Current Affairs,Champaran Satyagraha,Who presented the plight of indigo farmers of Bihar in the 1916 Lucknow session of the Indian National Congress?
Q000929,History of Bihar,Bihar Economy,Bihar's Separation from Bengal,When did Bihar become an seperate state in India?
Q000930,History of Bihar,Bihar Polity & Governance,Formation of Bihar and Orissa Province,Who invited Gandhiji to Champaran?
Q000932,History of Bihar,Bihar Economy,Bihar Socialist Party formed,Who among the following led the first Congress Council of Ministers in Bihar?
Q000934,History of Bihar,Bihar Economy,Kunwar Singh joined the rebellion of 1857 against the British,Where did Kunwar Singh join the rebellion of 1857 against the British?
Q000942,Indian Economy,Agriculture,Rice Production,Bihar has the lowest literacy rate (2011 census) among the states of India.
Q000944,Indian Economy,Industries,Industrial Development,What types of industries are expected and possibilities in Bihar?
Q000948,Indian Economy,Bihar Budget,Mukhya Mantri Kanya Utthan Yojana,Which of the following districts of Bihar does not share border with Nepal?
Q000956,Bihar Economy,Statistics,Road Per Capita in Bihar,The length of road per one lakh population in Bihar is
Q000963,Geography,Plateaus,Kaimur Plateau,What is Kaimur Plateau famous for?
Q000964,History of Bihar,Bhakti Movement,Swami Sahajanand Saraswati,"Swami Sahajanand Saraswati published a magazine, whose name was –"
Q000965,History of Bihar,Anushilan Samiti,Patna Branch (1913),Who established a branch of Anushilan Samiti in Patna in 1913?
Q000966,History of Bihar,Kisan Sabha,Munger (1922-23),Who formed the Kisan Sabha in Munger in 1922- 23?
Q000967,History of Bihar,Socialist Party,Bihar Socialist Party Secretary,The secretary of Bihar Socialist Party formed in 1934 was-
Q000968,History of Bihar,Indian Constituent Assembly,Bihar Representatives,Who was the member of the Indian Constituent Assembly from Bihar?
Q000969,History of Bihar,Bihar Cabinet,First Bihar Cabinet Head,Who headed the first Indian Cabinet formed in Bihar in 1937?
Q000970,Geography,Patna,Patna Lawn to Gandhi Maidan,When was Patna Lawn renamed as Gandhi Maidan?
Q000971,History of India,Partition of India,Partition of Bengal Announcement,Partition of Bengal was announced
Q000977,Bihar Economy,Development,Per capita energy consumption,Per capita energy consumption in the state of Bihar is:
Q000978,History of Bihar,Social Issues,Birsa Munda,Birsa was caught sleeping-
Q000979,History of Bihar,Indian National Movement,Non-Cooperation Movement,Who drew Gandhiji's attention to the exploitation of farmers by European indigo planters?
Q000980,History of Bihar,Indian National Movement,Quit India Movement,Who left Patna College during the Non-Cooperation Movement when only 20 days were left for his examination?
Q000981,History of Bihar,Indian National Movement,All India Forward Bloc,Who joined Subhash Chandra Bose to establish the All India Forward Bloc and I.N.A.
Q000982,History of Bihar,Indian National Movement,Lawyer,Which lawyer of Bihar had given up his profitable advocacy during the non-cooperation movement?
Q000994,Geography,Industry,Textile Industry,Which of the following districts in Bihar is the center of silk textile production?
Q000998,Indian Polity,Lok Sabha,Number of Members from Bihar,How many members are elected to the Lok Sabha from Bihar?
Q001001,History of India,Religious Movements,Birthplace of Guru Hargovind,Which Sikh Guru was born in Patna?
Q001003,History of India,Indian National Congress,Gaya Session of 1922 - President,By what name is Jaiprakash Narayan known?
Q001004,History of Bihar,Leaders,Jaiprakash Narayan (CPI) - Nickname,What is Dalmia city in Bihar famous for?
Q001005,Bihar Economy,Industrial Areas,Dalmia City - Famous for,How many square meters of forest area is there in Bihar?
Q001008,Geography,Lakes,Lakes Located in Bihar - Name,Fill in the blank: In the rights of tenants on land in Bengal and Bihar were given by the Bengal Tenancy Act.
Q001009,History of Bihar,Bihar Current Affairs,non-cooperation movement of 1920-22,One of the popular beliefs in Bihar during the non-cooperation movement of 1920-22 was that they would win because Gandh
Q001015,History of Bihar,Indian National Congress,27th session held in Hazaribagh,Where was the 27th session of the Indian National Congress held?
Q001016,History of Bihar,Indian National Congress,16th session held in Hazaribagh,The sixteenth session of Bihari Students Conference was held in Hazaribagh?
Q001033,Indian Economy,Bihar Economy,Bihar Budget,The infant mortality rate of Bihar state is:
Q001036,Indian Economy,Bihar Economy,Development expenditure,"In the year 2006-07, Bihar's development expenditure of its total expenditure was-"
Q001038,Indian Economy,Bihar Economy,Expenditure,What percentage of its total resources is spent by the Bihar government on the salaries and pensions of its employees?
Q001046,History of Bihar,Administration,Permanent Settlement,The percentage of total sown land in the area of Bihar is-
Q001047,Indian Economy,Agriculture,Total Sown Land,It is a joint irrigation project of Bihar and Uttar Pradesh states.
Q001049,Indian Economy,Population,2001 Census Population of Bihar,"According to the 2001 census, Bihar is the largest populous state of India."
Q001053,History of Bihar,Revolt of 1857,Attempt to assassinate King's Ford in Muzaffarpur,Akbar merged Bengal and Bihar into the Mughal Empire:
Q001055,History of Bihar,Revolt of 1857,Jagdishpur revolutionaries,"Emperor Shah Alam II granted Diwani of Bengal, Bihar and Orissa to the East India Company:"
Q001059,History of Bihar,Dr. Rajendra Prasad,Imprisonment during 1942 movement,In which jail was Dr. Rajendra Prasad imprisoned during the 1942 movement?
Q001061,History of Bihar,Birsa Munda,Area of work,What was the area of work of Birsa Munda?
Q001062,History of Bihar,Bihar Administration,Founder of Pataliputra,Jai Prakash Narayan was associated with which party:
Q001063,Indian Polity,Bihar Legislature,Bihar Socialist Party,Who was the leader of revolt of 1857 in Bihar.
Q001064,History of Bihar,Revolt of 1857,Leader,The founder of Bihar Socialist Party was:
Q001065,Bihar Economy,Permanent Settlement,Prevalent form,The founder of Pataliputra was :
Q001073,Bihar Economy,Development,Birth Rate (2002) - Data,What is the birth rate (per thousand) in Bihar as per the year 2002?
Q001074,Bihar Economy,Minerals,Coal Reserves (2003) - Million Tonnes,"The estimated reserves of coal in Bihar as on January 1, 2003 were (in million tonnes)-"
Q001079,History of Bihar,Revolt of 1857,Babu Kunwar Singh - Death Year,"When did Babu Kunwar Singh, the leader of the revolution of 1857 in Bihar die?"
Q001080,History of Bihar,Hindustan Socialist Republican Army,Revolutionary - Name,"Name the revolutionary from Bihar who participated in the meeting of 'Hindustan Socialist Republican Army' in September, 1928?"
Q001088,Bihar Economy,Industries,Teenkathiya System,What is ‘Teenkathiya’ system in Bihar?
Q001092,Bihar Economy,Fiscal Policy,Fiscal Deficit of Bihar 2021-22,Who among the following started the ‘Ulgulan movement?
Q001101,History of Bihar,Social Movements,Kisan Sabha Movement (1929) - Ali Gauhar,Who started the Kisan Sabha movement in Bihar in 1929?
Q001108,Bihar Economy,Demography,Scheduled Tribes,Numerically the largest scheduled tribe of Bihar is
Q001111,Bihar Polity & Governance,District-wise Geography,Literacy Rate,Which district of Bihar has the highest literacy rate?
Q001115,History of Bihar,Social Issues,Kapilaansh Metal Industry,Litchi production in Bihar is -
Q001117,History of Bihar,Bhakti Movement,Ravidas,Whose incarnation did the followers of Birsa Munda consider him to be?
Q001118,History of Bihar,Boycott and Swadeshi movement,Golden League,In which place was an organization called 'Golden League' established in support of the Boycott and Swadeshi movement?
Q001119,History of Bihar,Newspapers,First English newspaper published from Patna,Which was the first English newspaper published from Patna?
Q001120,History of Bihar,Birsa Munda,Incarnation,Who formed Ravidas Sabha in Bihar in 1928?
Q001121,Agriculture,Indigo Cultivation,Compensation tax,What compensation tax did the indigo farmers have to pay if they wanted exemption from indigo cultivation?
Q001122,Geography,Schools,First Zila school opened in 1835,Where was the first Zila school opened in 1835?
Q001123,History of Bihar,Dr. Rajendra Prasad,Previous post,"Dr. Rajendra Prasad, who was the first President of India, had previously held which post?"
Q001124,History of Bihar,1857 Revolt,Local leader of Rajgir Pargana,Which local leader of Rajgir Pargana of Bihar declared himself 'Raja' in the movement of 1857?
Q001125,History of Bihar,Diwani Grant,Shah Alam-II and East India Company,"For how many rupees did the Shah Alam-II give the Diwani of Bengal, Bihar and Orissa to the East India Company by a decree in 1765 AD?"
Q001126,History of Bihar,Gaurakshini meetings,Establishment during British rule,When were 'Gaurakshini' meetings established in many parts of Bihar during the British rule?
Q001127,History of Bihar,Bankipur Meeting,Delegate fee reduction,"To increase the integrity of Congress, how much was the delegate fee reduced in the meeting of Bankipur (Bihar) in 1912?"
Q001128,History of Bihar,"Government of India Act, 1935",Seats for Bihar in Upper House,"How many seats did Bihar get in the Upper House of the Central Parliament by the Government of India Act, 1935?"
Q001143,History of India,Social Movements,Direct Action Plan,"In 1976, a political party named 'Congress for Democracy' was established-"
Q001146,History of Bihar,Jharkhand Movement,Jharkhand Movement Started,Jharkhand movement was started–
Q001147,History of Bihar,Bihar Government,Minister Removal July 2004,How many ministers did the Chief Minister of Bihar remove from the Council of Ministers in July 2004?
Q001156,Indian Polity,Panchayati Raj,System of governance,What is the system of governance in the Panchayat Raj set-up?
Q001158,Bihar Economy,Land Revenue,Maximum size of land holding,Legally stipulated maximum size beyond which no individual farmer can hold any land is?
Q001160,Indian Polity,Budget,Article 112,Under which article of the Indian Constitution the annual financial Statement Budget is necessary to laid before the Parliament?
Q001161,Indian Polity,International Treaties,Article 73,The Parliament can make any law for the whole or any part of India for implementing International treaties:
Q001162,History of Bihar,Anglo-Indian Community,Right to stay in India,"Under the Government of India Act 1935, who was the first elected Chairman of Bihar Legislative Council?"
Q001163,History of Bihar,Bihar Legislative Council,First elected Chairman,A British Citizen staying in India can not claim right to
Q001164,Indian Polity,Citizenship,Rights of British Citizens in India,Which Amendment to the Constitution abolished the two seats that were reserved for the Anglo-Indian community?
Q001169,Indian Polity,Parliamentary Procedure,Cut Motion,A person shall not be a member of Parliament if he holds any office of profit under the Government of India or any State Government. 2. Exceptions Certain posts may be declared 'disqualification free' under laws made by Parliament. Such as member of any advisory committee etc. 22. What is the object of “cut motion” in Parliament?
Q001170,Indian Polity,Representation of Minorities,Anglo-Indian Community,What is the position of representation of Anglo-Indian Community in Lok Sabha?
Q001171,Indian Polity,President of India,Speaker of Lok Sabha,Among the following who has been Speaker of Lok Sabha prior to his Election as President of India?
Q001172,History of India,Preamble to the Constitution,Adoption Date,Indian National Flag was adopted by the Constituent Assembly on which date?
Q001173,Indian Polity,Council of Ministers,Restriction on Size,Size of Council of Ministers has been restricted to 15 percent of membership of Lok Sabha by which Constitutional Amendment?
Q001174,Indian Polity,Governor's Powers,Return of Bills,By which time Governor has to return an ordinary bill to the concerned State Legislature for reconsideration?
Q001175,Indian Polity,Disqualification of Members,State Legislative Assembly,"Who decides the disqualification of members of State Legislative Assembly, for matters other than those in the tenth schedule of the Constitution?"
Q001176,Indian Polity,Scheduled Tribes,Criteria for Declaration,The specifications required for a community to be declared as a Scheduled Tribe are 1. Indications of primitive traits 2. Distinctive Culture 3. Shyness of contact with the community at large. 4. Backwardness and geographical isolation. Which of the above is correct?
Q001180,Indian Polity,Directive Principles,Fifth Schedule,The Fifth Schedule deals with the governance and protection of the interests of which specific group of people?
Q001182,General Mental Ability & CSAT,Parliamentary Procedure,Article 120(1) and Language Use,"Match the political parties listed in List-I with the year of their establishment in List-II :- List- I List- II (Political Parties) (Year of Establishment) Select the correct answer using the code given below. The correct answer is as follows :- Political Parties Year of Establishment 36. Under which Article(s) the Speaker can allow any member of the House to speak in his/her mother tongue? Answer – (C) Article -120 (1) Article 120 (1) of the Indian Constitution is related to the language used in the Parliament, it says that if an MP is not able to express himself adequately in Hindi or English, then in that case the Speaker of the Lok Sabha and the Chairman in the Rajyasabha can allow him to address the House in his mother tongue. • Article 110 is related to the Money Bill and Article 122(2) is related to the courts not investigating the proceedings of the Parliament. 37. Consider the following statements about the collegium system : 1. The Supreme Court Collegium is a five-member body which is headed by the incumbent Chief Justice of India (CJI) and comprises four other seniormost Judges serving in the Court at that time. 2. The Parliament by law has evolved the collegium system. 3. The judges of the Supreme Court and the High Courts are appointed only through the collegium system. 4. The Collegium system was introduced in the year 1993 by Justice P.N. Bhagwati in the landmark First Judges Case. Which of the statements given above is/are correct?"
Q001183,Indian Polity,Amendments to Constitution,42ⁿd Amendment - Fundamental Duties,"Conside the following statements regarding the 42ⁿdAmendment to the Constitution of India : 1. It added three words in the preamble—‘Socialist, ‘Secular’ and ‘Integrity’. 2. It added eight Fundamental Duties to the Constitution. 3. It added new Directive Principles, i.e., Article 39A Article 43A and Article 47. 4. It granted power to the President, in consultation with the Election Commission, to disqualify members of the State Legislatures. Which of the above statements are incorrect?"
Q001184,Indian Polity,Article 360,Consequences of Financial Emergency,"Which of the following is/are the consequence(s) of invoking Article 360, declaration of a financial emergency? 1. The President may order the States to reduce the salaries and allowances of all or any class of employees serving in connection with the State affairs. 2. Money Bill or other financial bill Passed by the State Legislature are not required to be reserved for the consideration of the President. 3. The President can issue directions for the reduction of salaries and allowances of all or any class of employees serving in connection with the affairs of the Union, including the Judges of the Supreme Court and the High Courts. 4. Money Bills or other financial bills are to be reserved for the consideration of the Presidnt after they are passed by the Legislature for the State. Select the correct answer using the code given below."
Q001186,History of Bihar,Sikkim,Statehood,Sikkim became a full-fledged state of the union of Indian?
Q001187,Society,Consumer Protection,Consumer Disputes Redressal - District Level,"With reference to the Consumer Disputes Redressal at the district level in India, which one of the following statements is NOT correct?"
Q001188,Indian Polity,Panchayati Raj Institutions,Panchayat Samiti Operation Level,At what level does a Panchayat Samiti operate a Panchayati Raj structure?
Q001193,Indian Polity,Panchayati Raj,Decentralization of powers,"Consider the following statements: In the post 73<sup>rd</sup> Amendment era, there has to be decentralization of– 1. Decision making powers 2. System as a whole 3. Judicial powers 4. Administrative powers Which of the above statements are correct?"
Q001198,History of India,Constituent Assembly,Dr. Rajendra Prasad elected as Chairman,Dr. Rajendra Prasad was elected as Chairman of the Constituent Assembly in-
Q001199,Indian Polity,Elections,16th Vice President election in 2022 electoral college size,How many members are there in the electoral college for the 16th Vice President of India election in 2022?
Q001200,Indian Polity,President of India,Re-election eligibility,The Indian President is eligible for re-election for how many times?
Q001204,Geography,States,States with Panchayat System,Which State does not have Panchayat System?
Q001206,Indian Polity,Supreme Court,Nature of Supreme Court,Supreme Court is a-
Q001207,Indian Polity,Parliamentary Committees,Delegation of Rules Making Power,"To review the financial position of Panchayats, the State Government constitutes every five year a/an–"
Q001211,Indian Polity,Panchayati Raj,First Lokayukta State,The first ‘Lokayukta’ was established in which of the following States?
Q001216,Indian Polity,State Legislative Council,Composition of Members,The members of a State Legislative Counicil are not chosen by which of the following categories of persons?
Q001217,Indian Economy,Administrative Reforms,Split System,The ‘split system’ in the Indian administration relates to–
Q001219,History of Bihar,Rajendra Prasad,Interim Government,Which department did Rajendra Prasad hold in the interim government formed in 1946?
Q001221,History of India,Act – Government of India Act 1935,Landmark in Constitution Development,Which Act is not the landmark in the development of the Constitution during the British Rule?
Q001222,Indian Polity,Election Commission of India,Article related to Establishment,Which article of the Constitution of India is related to the establishment of the Election Commission of India?
Q001223,General Mental Ability & CSAT,Ethics & Integrity,Rule of Law,What is meant by 'rule of law' ?
Q001224,Indian Polity,Panchayati Raj Institutions,Article 243 – Functions of PRIs,Which article gives the list of 29 functions to be performed by the Panchayati Raj institutions?
Q001229,Indian Polity,Finance Bills,Definition of Money Bill under Article 110,What constitutes the definition of Money Bill under Article 110 of the Indian Constitution?
Q001231,Indian Polity,Political Parties,Percentage of votes to be recognized as National Party,"To be recognized as National Party in India, a party must have secured at least how much percentage of votes in the previous election?"
Q001232,Indian Polity,Parliamentary Procedure,Object of ‘cut motion’,What is the object of ‘cut motion’?
